#{"t_start": 1761408449.496938, "env_id": "None"}
r,l,t
56.7,58,367.161244
42.5,46,368.021611
44.5,48,368.895758
42.7,46,369.723693
55.5,58,370.645791
61.5,64,371.635325
45.5,48,372.476002
57.419,60,373.43554
35.5,40,374.197787
38.9,42,374.96751
34.3,40,375.714208
36.3,40,376.492067
33.7,38,377.222782
43.1,46,378.047799
43.1,46,378.874329
54.5,58,379.800574
43.9,46,380.650034
49.7,52,381.572461
45.7,48,382.452611
36.7,40,383.226136
36.1,40,383.979807
37.3,40,384.730192
36.1,40,385.501187
43.3,46,386.322043
68.3,70,387.343067
56.1,58,388.275131
42.9,46,389.144108
36.3,40,389.894746
31.3,36,390.588133
49.5,52,391.520211
56.5,58,392.478454
49.9,52,393.404798
61.1,64,394.376137
43.1,46,395.229927
35.1,40,395.982812
70.5,70,396.952664
56.1,58,397.939015
37.9,40,398.718881
55.1,58,399.699666
36.5,40,400.458766
44.9,48,401.340114
56.3,58,402.296
49.076,51,403.220434
38.7,42,403.998682
48.5,52,404.896763
50.3,52,405.794277
64.5,64,406.767662
50.3,52,407.715217
45.3,48,408.592166
36.3,40,409.358379
35.3,40,410.097574
44.1,46,410.922327
43.9,46,411.762317
33.9,38,412.464437
55.9,58,413.391137
39.5,42,414.181029
31.3,36,414.87411
42.9,46,415.74128
36.1,40,416.489015
36.7,40,417.243063
49.5,52,418.179817
56.3,58,419.101296
35.9,40,419.868205
43.7,46,420.702862
43.7,46,421.565328
57.3,58,422.506387
35.3,40,423.271562
43.3,46,424.112545
36.9,40,424.870191
58.3,60,425.8757
49.5,52,426.738331
48.7,52,427.663581
43.7,46,428.522841
43.5,46,429.375022
43.7,48,430.247606
42.1,46,431.116467
52.9,54,432.097385
49.3,52,433.036212
57.9,60,434.062829
43.7,46,434.904765
70.3,70,435.992189
36.1,40,436.759751
43.5,46,437.627268
50.5,52,438.540922
50.9,52,439.439185
54.1,56,440.462553
50.7,52,441.370867
58.3,60,442.291633
49.7,52,443.142753
64.1,64,444.105063
37.3,40,444.859067
41.1,44,445.641513
49.5,52,446.525904
49.9,52,447.43147
43.3,46,448.253569
31.7,36,448.933212
50.1,52,449.838852
51.1,52,450.721649
48.5,50,451.588491
43.5,46,452.424449
57.1,58,453.343785
50.1,52,454.247958
57.1,58,455.166518
66.1,66,456.144639
36.5,40,456.968868
49.5,50,457.868494
43.3,46,458.717765
36.5,40,459.448548
49.7,52,460.378363
49.9,52,461.285595
43.5,46,462.232289
43.1,46,463.070232
43.5,46,463.878206
42.9,46,464.700529
43.5,46,465.570465
51.1,52,466.466083
55.3,56,467.382603
36.5,40,468.127816
37.1,40,468.87728
42.9,46,469.700785
43.3,46,470.530078
35.9,40,471.280018
34.5,40,472.045773
56.7,58,473.008194
49.9,52,473.911668
42.5,46,474.763345
51.7,52,475.680108
70.1,70,476.670212
35.5,40,477.427343
37.7,40,478.170858
50.3,52,479.05865
54.3,56,479.998902
50.3,52,480.94801
49.7,52,481.827455
36.7,40,482.581116
27.9,32,483.183962
45.9,48,484.038145
64.3,64,485.02845
36.1,40,485.785378
49.9,52,486.712581
38.5,42,487.501961
