#{"t_start": 1761408449.496938, "env_id": "None"}
r,l,t
68.5,64,1189.739105
39.5,40,1190.50264
39.9,40,1191.294954
56.5,54,1192.184433
42.1,42,1192.979298
39.7,40,1193.735059
56.3,54,1194.692431
39.5,40,1195.456502
53.9,52,1196.421072
47.1,46,1197.219456
39.7,40,1197.981987
41.9,42,1198.735071
51.1,50,1199.633193
46.7,46,1200.474833
44.7,44,1201.316073
53.075,51,1202.235814
39.1,40,1202.992708
46.9,46,1203.818012
47.1,46,1204.72903
39.7,40,1205.506196
57.9,56,1206.459802
60.5,58,1207.377086
74.7,70,1208.398691
39.9,40,1209.15082
34.5,36,1209.855021
54.1,52,1210.778657
41.231,42,1211.567047
67.9,64,1212.49843
54.1,52,1213.395545
39.9,40,1214.152395
47.1,46,1215.039565
39.9,40,1215.793076
61.3,58,1216.69611
44.5,44,1217.50834
37.1,38,1218.227176
46.7,46,1219.048779
65.268,62,1220.17576
39.849,40,1220.976726
60.7,58,1221.95301
39.5,40,1222.688718
46.9,46,1223.501019
39.3,40,1224.224496
54.1,52,1225.153556
53.9,52,1226.071142
46.7,46,1226.921727
75.7,70,1227.922729
82.5,76,1229.004066
67.7,64,1229.989276
46.9,46,1230.905917
67.9,64,1231.908787
46.3,46,1232.769293
56.3,54,1233.709744
61.3,58,1234.650373
38.7,40,1235.405685
54.3,52,1236.367453
42.1,42,1237.178971
54.1,52,1238.067853
54.3,52,1238.946928
60.7,58,1239.950954
46.9,46,1240.797122
39.7,40,1241.616883
53.9,52,1242.533487
46.7,46,1243.387615
65.7,62,1244.326275
39.5,40,1245.073727
46.7,46,1245.923775
39.7,40,1246.682149
41.9,42,1247.477934
39.5,40,1248.234705
46.9,46,1249.08343
39.3,40,1249.846609
34.5,36,1250.533743
38.09,39,1251.315016
54.1,52,1252.251306
39.7,40,1253.008456
56.075,54,1253.974408
44.5,44,1254.801092
48.5,48,1255.695872
46.9,46,1256.574959
46.3,46,1257.41924
35.1,36,1258.079146
39.3,40,1258.883271
46.9,46,1259.840565
46.7,46,1260.677512
46.5,46,1261.539166
39.7,40,1262.317434
37.1,38,1263.048426
61.3,58,1264.023764
46.3,46,1264.923525
53.3,52,1265.848405
61.5,58,1266.827543
51.3,50,1267.701397
35.1,36,1268.381618
53.3,52,1269.269264
44.5,44,1270.123882
68.5,64,1271.118478
67.3,64,1272.110413
60.9,58,1273.028434
39.5,40,1273.79995
39.1,40,1274.549587
66.268,63,1275.514464
56.465,54,1276.467724
46.9,46,1277.375346
49.1,48,1278.260371
75.1,70,1279.38283
54.1,52,1280.285344
61.3,58,1281.218674
53.9,52,1282.122594
39.9,40,1282.899678
46.9,46,1283.743446
39.9,40,1284.563424
44.5,44,1285.388861
53.9,52,1286.323721
39.1,40,1287.122406
45.868,45,1288.086854
46.9,46,1288.923384
67.268,63,1289.865432
39.3,40,1290.629627
49.1,48,1291.530943
44.3,44,1292.405723
46.9,46,1293.28229
46.9,46,1294.145121
47.1,46,1295.015584
46.7,46,1295.906498
35.1,36,1296.595297
56.1,54,1297.517774
44.3,44,1298.431127
61.1,58,1299.471405
46.7,46,1300.344584
60.9,58,1301.414964
53.5,52,1302.504198
34.5,36,1303.29836
70.9,66,1304.357054
46.9,46,1305.228855
54.1,52,1306.256814
47.1,46,1307.111662
39.9,40,1307.884059
53.9,52,1308.787434
67.9,64,1309.727322
60.7,58,1310.684909
61.1,58,1311.680731
77.5,72,1312.692097
39.9,40,1313.454196
60.7,58,1314.419259
39.7,40,1315.200983
49.3,48,1316.141544
74.7,70,1317.162902
39.7,40,1317.908045
49.5,48,1318.768993
53.9,52,1319.677782
70.3,66,1320.679968
44.3,44,1321.537742
39.7,40,1322.300226
51.5,50,1323.338537
39.3,40,1324.232212
47.1,46,1325.106324
46.7,46,1325.953055
56.3,54,1326.8737
46.7,46,1327.730852
54.1,52,1328.636611
54.3,52,1329.667658
39.5,40,1330.460134
67.7,64,1331.400395
53.9,52,1332.344247
53.9,52,1333.244405
60.9,58,1334.341369
46.9,46,1335.316486
53.9,52,1336.26253
61.1,58,1337.210311
39.7,40,1337.966805
60.9,58,1338.936297
39.5,40,1339.737851
51.3,50,1340.659572
46.5,46,1341.493759
58.7,56,1342.424398
72.831,68,1343.350313
39.5,40,1344.181736
42.3,42,1345.112428
46.5,46,1345.967622
46.7,46,1346.832985
46.9,46,1347.674562
39.1,40,1348.43888
53.7,52,1349.339772
67.9,64,1350.407577
54.3,52,1351.583597
46.3,46,1352.404744
87.099,80,1353.377878
70.7,66,1354.342389
46.3,46,1355.183894
53.3,52,1356.079193
39.3,40,1356.882988
49.3,48,1357.752831
46.7,46,1358.546489
67.9,64,1359.50193
36.9,38,1360.222756
39.7,40,1360.992849
46.9,46,1362.056942
46.3,46,1362.867196
80.233,74,1363.875967
53.7,52,1364.743195
53.9,52,1365.65501
61.1,58,1366.578853
51.3,52,1367.477651
41.9,42,1368.424668
53.5,52,1369.320581
60.1,58,1370.264837
54.1,52,1371.176685
39.5,40,1371.924377
53.7,52,1372.839526
54.1,52,1373.748617
44.5,44,1374.588585
75.5,70,1375.693251
56.5,54,1376.751707
39.3,40,1377.494567
53.3,52,1378.421988
39.9,40,1379.180322
68.7,64,1380.089556
39.5,40,1380.876946
35.1,36,1381.592217
39.3,40,1382.339653
39.3,40,1383.081864
46.7,46,1383.907442
39.9,40,1384.657411
41.7,42,1385.455408
68.3,64,1386.389894
60.3,58,1387.345237
68.3,64,1388.375117
41.5,42,1389.219723
46.9,46,1390.170755
39.5,40,1391.059056
39.3,40,1391.932495
39.5,40,1392.727023
39.7,40,1393.507671
46.7,46,1394.341964
41.7,42,1395.198515
46.9,46,1396.035182
53.64,52,1396.940966
49.5,48,1397.778684
46.3,46,1398.621794
54.1,52,1399.519619
39.7,40,1400.267716
39.9,40,1401.007395
61.1,58,1401.909038
75.5,70,1402.933324
39.5,40,1403.734539
46.9,46,1404.58831
39.5,40,1405.325428
39.7,40,1406.063114
73.1,68,1407.106116
53.5,52,1408.042889
46.1,46,1408.890754
51.7,50,1409.743577
39.5,40,1410.487829
39.9,40,1411.255567
39.7,40,1412.015142
39.7,40,1412.79086
39.5,40,1413.553206
53.5,52,1414.448958
37.3,38,1415.189363
54.3,52,1416.08592
53.3,52,1417.032419
39.9,40,1417.813531
34.7,36,1418.548872
58.5,56,1419.506008
54.1,52,1420.412307
50.9,50,1421.320614
39.3,40,1422.117543
48.9,48,1422.999847
53.5,52,1423.90975
54.1,52,1424.799558
34.9,36,1425.498225
46.7,46,1426.486964
48.9,48,1427.320855
37.5,38,1428.053455
53.3,52,1429.033998
56.1,54,1429.959451
68.1,64,1430.949278
39.9,40,1431.723182
47.1,46,1432.569525
53.9,52,1433.512218
39.7,40,1434.26855
61.1,58,1435.376201
39.7,40,1436.252161
46.9,46,1437.309559
39.7,40,1438.098106
39.3,40,1438.927608
46.7,46,1439.858578
34.7,36,1440.59135
54.1,52,1441.513864
53.9,52,1442.444326
67.9,64,1443.466334
39.9,40,1444.27255
54.1,52,1445.160984
34.9,36,1445.841461
67.9,64,1446.917801
39.9,40,1447.688294
39.5,40,1448.543777
54.3,52,1449.494658
46.7,46,1450.382964
39.5,40,1451.219932
46.9,46,1452.066126
37.5,38,1452.799442
53.5,52,1453.686241
53.5,52,1454.57101
46.7,46,1455.456466
42.3,42,1456.24082
68.1,64,1457.226094
39.9,40,1457.989395
53.9,52,1458.949222
46.5,46,1459.835119
47.1,46,1460.695067
42.029,42,1461.462453
39.3,40,1462.198964
53.7,52,1463.168129
39.9,40,1463.943518
53.3,52,1464.912507
61.3,58,1465.902952
39.7,40,1466.675557
68.5,64,1467.701265
53.9,52,1468.570285
51.441,50,1469.46419
56.7,54,1470.440854
46.5,46,1471.334659
39.7,40,1472.122071
58.5,56,1473.130124
39.7,40,1473.967294
39.7,40,1474.797114
61.5,58,1475.850186
60.9,58,1476.821638
54.1,52,1477.724001
39.5,40,1478.492334
46.5,46,1479.360712
39.5,40,1480.133989
39.9,40,1480.961479
47.1,46,1481.839287
46.5,46,1482.672426
41.9,42,1483.451537
39.3,40,1484.218144
46.7,46,1485.093594
46.9,46,1486.029186
54.1,52,1486.971997
39.3,40,1487.717533
72.829,68,1488.796487
43.7,44,1489.588753
39.7,40,1490.33368
46.9,46,1491.202127
47.1,46,1492.041493
39.5,40,1492.777556
53.9,52,1493.6706
39.1,40,1494.413166
55.7,54,1495.312001
47.1,46,1496.16013
34.9,36,1496.829152
39.7,40,1497.558475
39.7,40,1498.396341
49.1,48,1499.297895
39.5,40,1500.025046
34.5,36,1500.687517
46.1,46,1501.571038
46.9,46,1502.400008
60.9,58,1503.308058
46.5,46,1504.170171
46.7,46,1505.008735
39.3,40,1505.750701
68.5,64,1506.720551
34.7,36,1507.399305
35.1,36,1508.077519
39.9,40,1508.816641
46.5,46,1509.708027
39.7,40,1510.449961
65.5,62,1511.382494
35.1,36,1512.066942
46.9,46,1512.913298
61.1,58,1513.851985
39.7,40,1514.608717
54.3,52,1515.585685
48.9,48,1516.495088
54.1,52,1517.410204
47.1,46,1518.234757
34.7,36,1518.906888
39.5,40,1519.659205
39.7,40,1520.403207
53.7,52,1521.447497
53.5,52,1522.389949
93.9,86,1523.451811
37.3,38,1524.168341
61.1,58,1525.146061
39.7,40,1525.956629
46.7,46,1526.786897
49.3,48,1527.662005
39.7,40,1528.412386
61.1,58,1529.352268
38.097,39,1530.067314
42.1,42,1530.856547
46.7,46,1531.708537
61.3,58,1532.709341
41.9,42,1533.473095
68.1,64,1534.351803
53.7,52,1535.240814
46.1,46,1536.086013
42.1,42,1536.866528
46.9,46,1537.759718
46.7,46,1538.625808
41.3,42,1539.418465
53.9,52,1540.315646
36.9,38,1541.028491
60.9,58,1541.949873
54.3,52,1542.903286
41.9,42,1543.691527
39.7,40,1544.465158
44.1,44,1545.296555
39.7,40,1546.069486
61.9,60,1547.023537
39.5,40,1547.753469
53.631,52,1548.685452
52.9,52,1549.560643
46.7,46,1550.394511
39.3,40,1551.147655
39.3,40,1552.014079
39.9,40,1552.753882
46.7,46,1553.621313
68.5,64,1554.619402
39.3,40,1555.44477
53.9,52,1556.374805
39.5,40,1557.134286
53.9,52,1557.997773
44.5,44,1558.894315
49.1,48,1559.765557
46.9,46,1560.638483
54.1,52,1561.557412
60.7,58,1562.491844
46.5,46,1563.321193
46.9,46,1564.25719
61.1,58,1565.226606
52.9,52,1566.145756
39.3,40,1566.881201
73.1,68,1567.888537
39.5,40,1568.718022
68.5,64,1569.678109
47.1,46,1570.54262
54.3,52,1571.412922
53.9,52,1572.329029
44.5,44,1573.151439
49.3,48,1574.028147
46.832,46,1574.879806
35.1,36,1575.550277
46.3,46,1576.405166
54.1,52,1577.292944
45.7,46,1578.208878
34.7,36,1578.945082
49.1,48,1579.886059
44.3,44,1580.706941
61.1,58,1581.647138
60.9,58,1582.58502
39.5,40,1583.339047
39.3,40,1584.097483
45.664,45,1584.98777
39.9,40,1585.764742
39.1,40,1586.534839
41.7,42,1587.31503
68.5,64,1588.306982
75.3,70,1589.31297
53.7,52,1590.304929
53.1,52,1591.254502
53.7,52,1592.235688
37.5,38,1592.959177
56.1,54,1593.885273
53.7,52,1594.805095
60.1,58,1595.723813
27.3,30,1596.287553
53.7,52,1597.26236
46.9,46,1598.130934
53.7,52,1599.048269
39.3,40,1599.804921
53.9,52,1600.847071
46.7,46,1601.722168
39.5,40,1602.497371
46.7,46,1603.373629
46.9,46,1604.222056
46.1,46,1605.094032
51.5,50,1606.160814
44.5,44,1607.023453
39.1,40,1607.800875
38.7,40,1608.565384
39.9,40,1609.339025
39.7,40,1610.081533
46.5,46,1610.945628
46.9,46,1611.826967
46.3,46,1612.696151
59.1,56,1613.688066
34.3,36,1614.372968
56.3,54,1615.333808
37.235,38,1616.143398
39.9,40,1616.962014
67.9,64,1617.969485
39.3,40,1618.732212
34.7,36,1619.465436
53.7,52,1620.460037
39.7,40,1621.344752
39.1,40,1622.27121
53.7,52,1623.136552
46.9,46,1624.020801
46.3,46,1624.962889
51.3,50,1625.881511
68.5,64,1626.955025
56.3,54,1627.900245
53.9,52,1628.77349
51.7,50,1629.66664
39.5,40,1630.40659
42.1,42,1631.186801
46.9,46,1632.073625
46.7,46,1632.923049
46.7,46,1633.871276
39.3,40,1634.684242
46.9,46,1635.694352
46.9,46,1636.6955
47.1,46,1637.516689
53.7,52,1638.435506
39.3,40,1639.280175
46.5,46,1640.0985
51.1,50,1641.059307
61.1,58,1642.063385
39.7,40,1642.826948
68.1,64,1643.845213
46.9,46,1644.681775
55.5,54,1645.597863
53.3,52,1646.485935
54.3,52,1647.400883
39.9,40,1648.187006
37.3,38,1648.913274
46.7,46,1649.797722
61.3,58,1650.751499
53.5,52,1651.685364
58.9,56,1652.790533
37.1,38,1653.493565
47.1,46,1654.351336
41.9,42,1655.146982
46.7,46,1656.040461
34.9,36,1656.807604
54.1,52,1657.707811
44.3,44,1658.538211
39.5,40,1659.289885
39.5,40,1660.046263
46.7,46,1660.884143
70.1,66,1661.837148
39.3,40,1662.714627
35.1,36,1663.406319
38.9,40,1664.162001
39.5,40,1664.936044
68.1,64,1665.983576
46.5,46,1666.841558
46.9,46,1667.73418
70.5,66,1668.676044
48.7,48,1669.569299
63.5,60,1670.541204
53.9,52,1671.478581
39.9,40,1672.236262
68.233,64,1673.273491
54.3,52,1674.17487
39.9,40,1674.930254
46.7,46,1675.802051
52.085,52,1676.839916
67.9,64,1677.844277
68.3,64,1678.871663
46.7,46,1679.721303
39.9,40,1680.484168
67.9,64,1681.428397
61.1,58,1682.450642
70.9,66,1683.523576
48.9,48,1684.419813
46.9,46,1685.365331
39.9,40,1686.125544
34.9,36,1686.804592
61.1,58,1687.847514
46.3,46,1688.835846
61.1,58,1689.896975
67.7,64,1691.023514
53.5,52,1691.933357
39.7,40,1692.783308
53.7,52,1693.731845
49.1,48,1694.669939
61.3,58,1695.590221
39.3,40,1696.401223
60.9,58,1697.33064
46.7,46,1698.183914
39.7,40,1698.953156
48.7,48,1699.817376
47.1,46,1700.667402
41.7,42,1701.429476
39.7,40,1702.159645
43.7,44,1702.994753
39.7,40,1703.762517
47.1,46,1704.603416
42.3,42,1705.374253
61.3,58,1706.286894
60.9,58,1707.251339
53.492,52,1708.144492
46.9,46,1709.03578
54.1,52,1709.955534
53.5,52,1710.888276
39.1,40,1711.648673
60.9,58,1712.584155
39.5,40,1713.339178
61.1,58,1714.317675
46.9,46,1715.191277
39.7,40,1715.951784
53.7,52,1716.852034
56.1,54,1717.780333
54.1,52,1718.72007
45.443,45,1719.55929
60.9,58,1720.59027
39.9,40,1721.332548
39.3,40,1722.132321
61.3,58,1723.105196
41.1,42,1723.902097
39.7,40,1724.649756
68.3,64,1725.705229
39.7,40,1726.481489
51.7,50,1727.412876
60.9,58,1728.372859
39.3,40,1729.112086
67.7,64,1730.167874
44.9,46,1731.050963
39.5,40,1731.863431
58.9,56,1732.797577
46.5,46,1733.663825
39.9,40,1734.47109
46.9,46,1735.33807
46.7,46,1736.194737
51.5,50,1737.072172
61.1,58,1737.993231
72.9,68,1738.999814
39.9,40,1739.750128
62.9,60,1740.750957
46.7,46,1741.584036
67.5,64,1742.52161
39.9,40,1743.272032
39.5,40,1744.057271
60.5,58,1744.96622
39.7,40,1745.730278
53.9,52,1746.683275
46.9,46,1747.565619
61.1,58,1748.423254
49.3,48,1749.269691
60.5,58,1750.269753
61.5,58,1751.239432
61.3,58,1752.260495
53.7,52,1753.195369
61.3,58,1754.108129
39.7,40,1754.87573
46.9,46,1755.785347
39.7,40,1756.575119
46.3,46,1757.384429
60.7,58,1758.280015
42.3,42,1759.078798
61.1,58,1760.191849
38.9,40,1760.944012
36.9,38,1761.823632
39.3,40,1762.559559
41.7,42,1763.297162
48.9,48,1764.130612
46.856,46,1764.927712
39.5,40,1765.668498
60.7,58,1766.677718
46.7,46,1767.531121
34.5,36,1768.185563
39.3,40,1768.925489
39.5,40,1769.670146
56.3,54,1770.600772
52.9,52,1771.488036
39.7,40,1772.27941
54.1,52,1773.200177
43.9,44,1774.021755
61.1,58,1774.957355
46.7,46,1775.809722
47.1,46,1776.654411
54.1,52,1777.550545
39.3,40,1778.37022
53.9,52,1779.29129
39.3,40,1780.022831
39.7,40,1780.777404
53.9,52,1781.656178
39.3,40,1782.425399
59.264,57,1783.342846
53.7,52,1784.274486
46.9,46,1785.11818
46.7,46,1785.960405
46.9,46,1786.788115
34.3,36,1787.481036
39.3,40,1788.22567
39.7,40,1788.972624
47.1,46,1789.799207
68.3,64,1790.726423
47.1,46,1791.595117
63.3,60,1792.558867
61.1,58,1793.53854
46.7,46,1794.357268
70.9,66,1795.325601
39.7,40,1796.080736
60.7,58,1797.018494
54.3,52,1797.902272
38.7,40,1798.654915
61.3,58,1799.632045
39.9,40,1800.384254
39.3,40,1801.141478
47.1,46,1801.986713
46.7,46,1802.838566
46.3,46,1803.760068
47.1,46,1804.616028
39.7,40,1805.378961
48.9,48,1806.242244
46.7,46,1807.105761
41.9,42,1807.893387
61.5,58,1808.887055
39.5,40,1809.65093
46.7,46,1810.471682
73.856,69,1811.419
82.7,76,1812.481905
39.9,40,1813.239529
58.7,56,1814.197446
68.1,64,1815.219884
44.059,44,1816.044327
75.3,70,1817.069552
54.1,52,1817.94247
39.5,40,1818.700213
68.3,64,1819.68378
61.1,58,1820.645743
49.872,49,1821.528371
54.1,52,1822.453929
72.3,68,1823.677539
46.7,46,1824.598042
65.5,62,1825.60097
39.7,40,1826.36512
39.1,40,1827.177532
53.5,52,1828.08182
39.5,40,1828.846484
54.1,52,1829.748033
52.7,52,1830.673512
73.033,68,1831.736307
53.7,52,1832.678981
54.1,52,1833.63974
53.5,52,1834.56718
39.7,40,1835.331767
61.1,58,1836.32365
30.3,32,1836.928662
46.5,46,1837.782274
58.9,56,1838.731151
37.3,38,1839.489273
53.5,52,1840.368807
46.9,46,1841.215823
39.5,40,1841.987308
46.9,46,1842.83553
54.1,52,1843.748859
74.9,70,1844.812382
46.3,46,1845.673886
61.1,58,1846.590494
39.3,40,1847.345296
53.3,52,1848.20192
46.7,46,1849.057472
61.1,58,1850.055646
68.5,64,1851.012329
35.1,36,1851.676501
72.7,68,1852.668222
39.9,40,1853.465676
56.3,54,1854.384627
61.5,58,1855.316365
53.9,52,1856.242657
53.3,52,1857.145324
46.7,46,1858.011436
46.7,46,1858.848179
39.3,40,1859.593203
53.3,52,1860.545332
39.7,40,1861.313786
53.9,52,1862.311652
39.5,40,1863.06703
45.5,46,1863.923762
53.9,52,1864.787191
39.5,40,1865.546295
47.1,46,1866.449062
39.5,40,1867.205256
70.9,66,1868.231282
39.483,40,1869.027156
53.9,52,1870.077293
67.5,64,1871.092072
51.9,50,1871.983291
39.5,40,1872.752939
56.3,54,1873.768337
29.9,32,1874.368466
40.872,41,1875.129258
46.5,46,1876.020495
56.1,54,1876.972898
39.1,40,1877.753643
39.7,40,1878.570929
39.5,40,1879.312711
44.5,44,1880.147902
39.5,40,1880.938495
39.7,40,1881.739445
67.292,63,1882.751199
46.5,46,1883.609192
39.3,40,1884.378926
49.3,48,1885.244476
46.7,46,1886.130644
68.1,64,1887.138508
39.7,40,1887.896903
46.7,46,1888.778096
46.9,46,1889.643
36.9,38,1890.381511
54.3,52,1891.301677
53.5,52,1892.276482
39.7,40,1893.033114
53.9,52,1893.978925
39.7,40,1894.820768
54.1,52,1895.716257
46.7,46,1896.53927
46.9,46,1897.472434
60.7,58,1898.403896
39.5,40,1899.139429
53.9,52,1900.02114
46.5,46,1900.787284
46.7,46,1901.628443
61.3,58,1902.735561
39.3,40,1903.629507
46.5,46,1904.564117
46.5,46,1905.525474
39.7,40,1906.306544
46.9,46,1907.35459
53.7,52,1908.307658
46.5,46,1913.690642
43.7,46,1914.531998
47.1,46,1915.341259
68.1,64,1916.31929
41.9,42,1917.095397
56.3,54,1918.047341
67.3,64,1919.007682
54.292,52,1919.888962
39.7,40,1920.680513
37.5,38,1921.453127
39.7,40,1922.23011
39.7,40,1923.025758
56.3,54,1923.914038
51.9,50,1924.76593
43.7,44,1925.5696
42.1,42,1926.380508
44.7,44,1927.203956
68.1,64,1928.202338
46.7,46,1929.052917
54.1,52,1930.023708
53.3,52,1930.930681
81.9,76,1932.003399
39.3,40,1932.813057
38.3,40,1933.639086
42.1,42,1934.480098
38.5,40,1935.272564
61.1,58,1936.180929
39.7,40,1936.95914
53.7,52,1937.807488
60.5,58,1938.793285
47.1,46,1939.621147
46.7,46,1940.467911
39.3,40,1941.230224
61.3,58,1942.242579
48.9,48,1943.215154
65.7,62,1944.205583
46.9,46,1945.024741
46.5,46,1945.876616
36.829,38,1946.599609
75.3,70,1947.559182
39.3,40,1948.321829
54.3,52,1949.245163
39.5,40,1950.023434
67.9,64,1951.092391
46.9,46,1952.103045
46.9,46,1952.998886
39.7,40,1953.84854
46.9,46,1954.73022
47.1,46,1955.577532
56.5,54,1956.523865
46.5,46,1957.426528
46.7,46,1958.320988
47.1,46,1959.181377
39.5,40,1960.02192
68.1,64,1960.997648
46.7,46,1962.020919
46.9,46,1962.875745
53.9,52,1963.804579
51.449,50,1964.761315
54.1,52,1965.668667
39.5,40,1966.425575
39.5,40,1967.241412
61.1,58,1968.198761
39.5,40,1968.965167
46.3,46,1969.848904
68.7,64,1970.835666
39.5,40,1971.596371
46.5,46,1972.436935
42.3,42,1973.254222
39.3,40,1974.016874
46.7,46,1974.867456
61.1,58,1975.838725
68.1,64,1976.811107
39.5,40,1977.607543
39.7,40,1978.415085
39.3,40,1979.204132
60.5,58,1980.198174
53.5,52,1981.102794
63.5,60,1982.118116
47.1,46,1982.955882
47.1,46,1983.788516
46.7,46,1984.627003
36.9,38,1985.376321
65.829,62,1986.408752
54.1,52,1987.357715
55.9,54,1988.274243
72.9,68,1989.260775
67.9,64,1990.253575
53.7,52,1991.235587
54.1,52,1992.120211
51.7,50,1993.012122
56.3,54,1993.939016
39.9,40,1994.691256
46.9,46,1995.546367
39.9,40,1996.312487
39.5,40,1997.1526
60.9,58,1998.121641
46.5,46,1998.955772
45.9,46,1999.781432
46.7,46,2000.598952
53.7,52,2001.529157
34.7,36,2002.240777
39.9,40,2003.003666
46.7,46,2003.956978
39.1,40,2004.691899
46.7,46,2005.536549
39.7,40,2006.355213
44.5,44,2007.141378
38.9,40,2007.889281
53.7,52,2008.820334
39.7,40,2009.575913
39.9,40,2010.347439
46.9,46,2011.226482
39.1,40,2011.994313
44.1,44,2012.850349
39.5,40,2013.610281
53.7,52,2014.556576
39.1,40,2015.320957
75.5,70,2016.344856
51.3,50,2017.246758
60.7,58,2018.205794
51.7,50,2019.093536
46.7,46,2019.935724
37.3,38,2020.67013
34.7,36,2021.356677
53.7,52,2022.272229
39.7,40,2023.022293
63.633,60,2023.992868
39.7,40,2024.758585
55.833,54,2025.652026
60.9,58,2026.694552
51.3,50,2027.651429
51.7,50,2028.59082
39.7,40,2029.335621
37.1,38,2030.041512
42.1,42,2030.822253
60.9,58,2031.737255
35.1,36,2032.442008
46.5,46,2033.308871
37.3,38,2034.025959
44.3,44,2034.812868
46.7,46,2035.642577
54.3,52,2036.521188
39.5,40,2037.284618
46.7,46,2038.23698
49.1,48,2039.133272
61.3,58,2040.069098
61.3,58,2040.995848
46.3,46,2041.906899
51.433,50,2042.810083
39.7,40,2043.626584
54.1,52,2044.553995
39.7,40,2045.319093
34.433,36,2045.997387
47.1,46,2046.82783
63.3,60,2047.790467
54.3,52,2048.714328
46.9,46,2049.580408
46.7,46,2050.433998
39.5,40,2051.193005
39.7,40,2051.944368
60.9,58,2052.932049
46.9,46,2053.937376
39.5,40,2054.694149
39.7,40,2055.447858
61.1,58,2056.418381
46.9,46,2057.292577
39.7,40,2058.055331
39.7,40,2058.796108
46.9,46,2059.619822
39.9,40,2060.409363
61.1,58,2061.346403
68.5,64,2062.280395
53.9,52,2063.372601
58.9,56,2064.383862
39.5,40,2065.151167
39.1,40,2065.914721
48.7,48,2066.764773
44.5,44,2067.574076
51.7,50,2068.460287
39.7,40,2069.240015
46.9,46,2070.053872
53.9,52,2070.982228
46.1,46,2071.832622
58.7,56,2072.774809
39.5,40,2073.540166
53.3,52,2074.49805
77.9,72,2075.531896
47.1,46,2076.371124
44.439,44,2077.197509
39.9,40,2077.947685
75.7,70,2078.92615
66.1,62,2079.972903
53.9,52,2080.894388
46.5,46,2081.714438
53.9,52,2082.650766
35.1,36,2083.334998
39.7,40,2084.165258
53.7,52,2085.138199
58.1,56,2086.062524
60.7,58,2087.015124
56.5,54,2087.986371
68.3,64,2088.989677
46.9,46,2089.893832
46.9,46,2090.742372
39.7,40,2091.486596
68.5,64,2092.454916
64.092,61,2093.442097
60.9,58,2094.37805
49.435,50,2095.275208
61.1,58,2096.222405
82.5,76,2097.283563
39.1,40,2098.062244
46.9,46,2098.90548
58.7,56,2099.86593
34.7,36,2100.606163
34.7,36,2101.283201
60.5,58,2102.259585
58.631,56,2103.198102
41.7,42,2103.986964
61.1,58,2104.930024
51.5,50,2105.853127
54.3,52,2106.774185
49.1,48,2107.63122
34.7,36,2108.307786
39.1,40,2109.057361
39.5,40,2109.800987
67.7,64,2110.863648
35.1,36,2111.566123
39.5,40,2112.371358
75.5,70,2113.377815
35.1,36,2114.053758
39.5,40,2114.795513
53.1,52,2115.703024
46.5,46,2116.540699
39.1,40,2117.317783
46.5,46,2118.166029
53.7,52,2119.107861
46.1,46,2119.956959
45.66,45,2120.835723
39.9,40,2121.569251
48.1,48,2122.440774
47.1,46,2123.269665
46.7,46,2124.158395
53.9,52,2125.087271
68.5,64,2126.029713
39.5,40,2126.809912
39.3,40,2127.584629
42.057,42,2128.371072
39.3,40,2129.087337
39.5,40,2129.826795
47.1,46,2130.687232
64.676,63,2131.71633
45.3,46,2132.584508
53.9,52,2133.497812
47.1,46,2134.637565
54.029,52,2135.611817
56.234,54,2136.56605
49.1,48,2137.455419
51.5,50,2138.315093
53.5,52,2139.173316
39.5,40,2139.927198
73.1,68,2140.967234
39.7,40,2141.744677
42.1,42,2142.532538
39.5,40,2143.282986
61.1,58,2144.236231
42.1,42,2145.001543
49.5,48,2145.875881
37.5,38,2146.744808
53.9,52,2147.671013
68.3,64,2148.618906
46.1,46,2149.448017
46.7,46,2150.288809
34.9,36,2150.971282
47.1,46,2151.79614
68.1,64,2152.917699
53.9,52,2153.831575
39.5,40,2154.582232
44.1,44,2155.407267
39.5,40,2156.176931
68.3,64,2157.345184
39.7,40,2158.112748
44.1,44,2158.923805
47.1,46,2159.745924
39.9,40,2160.50287
39.7,40,2161.352162
58.431,56,2162.278402
56.5,54,2163.204362
41.031,42,2163.960148
75.7,70,2164.919012
46.7,46,2165.727698
39.9,40,2166.465231
46.7,46,2167.260856
60.7,58,2168.159609
54.3,52,2169.090235
51.1,50,2170.019301
54.1,52,2170.903652
49.3,48,2171.743937
47.1,46,2172.577239
60.9,58,2173.524495
39.7,40,2174.264586
46.9,46,2175.06265
53.1,52,2175.952408
39.7,40,2176.702053
53.9,52,2177.578777
48.9,48,2178.447716
41.7,42,2179.228197
65.3,62,2180.190574
46.3,46,2181.023937
51.1,50,2181.876625
39.5,40,2182.673246
39.9,40,2183.462201
53.5,52,2184.406279
47.1,46,2185.238544
75.9,70,2186.16744
60.9,58,2187.11249
46.9,46,2187.955855
60.9,58,2188.930634
60.5,58,2189.847172
51.3,50,2190.729301
39.7,40,2191.494075
46.9,46,2192.327828
46.5,46,2193.187233
72.433,68,2194.24137
46.3,46,2195.082372
54.1,52,2195.998209
60.9,58,2196.979172
39.5,40,2197.71784
48.7,48,2198.581075
50.9,50,2199.491009
44.1,44,2200.309104
65.433,62,2201.290335
61.1,58,2202.267869
39.7,40,2203.019029
41.3,42,2203.808225
50.5,50,2204.774796
