#{"t_start": 1763125153.387349, "env_id": "None"}
r,l,t
48.75333,52,3.253384
56.746086,58,4.72932
40.783337,46,6.101133
48.20666,52,7.495776
58.84333,58,9.113137
32.25564,40,10.506565
50.05667,52,11.940267
