timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable
0,15.0,20.0,0.0,0.0,0.0,0.0
1,15.0,19.5,0.0,0.0,0.0,0.0
2,15.0,19.0,0.0,0.0,0.0,0.0
3,15.0,18.7,0.009982174688057066,0.0,0.0,5.0
4,15.0,18.4,0.018840579710144967,0.75,0.0,5.0
5,15.0,17.9,0.01936685288640594,0.73,0.0,0.0
6,15.0,17.4,0.01992337164750957,0.71,0.0,0.0
7,15.0,16.9,0.02051282051282044,0.69,0.0,0.0
8,15.0,16.4,0.021138211382113914,0.6699999999999999,0.0,0.0
9,15.0,16.1,0.029813664596273215,0.6499999999999999,0.0,5.0
10,15.0,15.599999999999998,0.030769230769230882,0.6299999999999999,0.0,0.0
11,15.0,15.299999999999995,0.04357298474945548,0.6099999999999999,0.0,5.0
12,15.0,14.866666666666664,0.060388639760837304,1.3399999999999999,4.0,5.0
13,15.0,14.299999999999994,0.06651126651126682,1.2999999999999998,6.0,0.0
14,15.0,14.266666666666659,0.07912772585669803,2.7399999999999998,2.0,10.0
15,15.0,13.96666666666666,0.08464598249801147,3.3899999999999997,0.0,5.0
16,15.0,13.466666666666658,0.08778877887788816,3.2899999999999996,0.0,0.0
17,15.0,12.833333333333321,0.10043290043290076,3.1899999999999995,4.0,0.0
18,15.0,12.53333333333332,0.1049645390070928,3.8399999999999994,0.0,5.0
19,15.0,12.499999999999984,0.1116444444444451,4.469999999999999,2.0,10.0
20,15.0,12.199999999999985,0.11293260473588362,5.059999999999999,0.0,5.0
21,15.0,11.699999999999983,0.11775878442545129,4.899999999999999,0.0,0.0
22,15.0,11.599999999999982,0.1264367816091958,7.739999999999998,0.0,10.0
23,15.0,11.233333333333313,0.12344213649851676,7.499999999999998,3.0,0.0
24,15.0,11.133333333333313,0.1508982035928148,8.739999999999998,0.0,10.0
25,15.0,10.83333333333331,0.1624615384615391,9.209999999999997,0.0,5.0
26,15.0,10.933333333333309,0.19756097560975672,11.869999999999997,0.0,15.0
27,15.0,10.633333333333308,0.191431556948799,11.769999999999998,0.0,5.0
28,15.0,10.533333333333307,0.21603375527426238,12.139999999999997,0.0,10.0
29,15.0,10.033333333333307,0.22679955703211574,11.739999999999997,0.0,0.0
30,15.0,9.733333333333304,0.2502283105022838,11.339999999999996,0.0,5.0
31,15.0,9.433333333333305,0.258186101295643,10.939999999999996,0.0,5.0
32,15.0,9.133333333333304,0.2812652068126529,10.539999999999996,0.0,5.0
33,15.0,8.633333333333304,0.29755469755469854,10.139999999999995,0.0,0.0
34,15.0,8.133333333333304,0.31584699453552023,9.739999999999995,0.0,0.0
35,15.0,7.833333333333303,0.34836879432624257,9.339999999999995,0.0,5.0
36,15.0,7.333333333333303,0.37212121212121363,8.939999999999994,0.0,0.0
