timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable
0,15.0,20.0,0.0,0.0,0.0,0.0
1,15.0,19.5,0.0,0.0,0.0,0.0
2,15.0,19.0,0.0,0.0,0.0,0.0
3,15.0,18.5,0.0,0.0,0.0,0.0
4,15.0,18.0,0.0,0.0,0.0,0.0
5,15.0,17.9,0.01936685288640594,2.94,0.0,10.0
6,15.0,17.266666666666666,0.02728442728442726,2.86,4.0,0.0
7,15.0,16.833333333333332,0.024290429042904238,2.78,2.0,0.0
8,15.0,16.533333333333335,0.03279569892473111,2.6999999999999997,0.0,5.0
9,15.0,16.033333333333335,0.033818433818433746,2.6199999999999997,0.0,0.0
10,15.0,15.73333333333333,0.0412429378531074,4.039999999999999,0.0,5.0
11,15.0,15.233333333333329,0.04259664478482894,3.9199999999999995,0.0,0.0
12,15.0,14.733333333333329,0.04404223227752668,3.7999999999999994,0.0,0.0
13,15.0,14.433333333333328,0.050500384911470464,3.6799999999999993,0.0,5.0
14,15.0,14.133333333333328,0.055345911949685744,3.559999999999999,0.0,5.0
15,15.0,13.833333333333325,0.05847389558232963,4.1899999999999995,0.0,5.0
16,15.0,13.333333333333323,0.06066666666666687,4.049999999999999,0.0,0.0
17,15.0,12.833333333333321,0.06303030303030344,3.909999999999999,0.0,0.0
18,15.0,12.399999999999986,0.06523297491039481,3.7699999999999987,4.0,5.0
19,15.0,12.566666666666652,0.07427055702917817,4.3599999999999985,2.0,15.0
20,15.0,12.06666666666665,0.07734806629834301,4.199999999999998,0.0,0.0
21,15.0,11.566666666666647,0.08069164265129714,4.039999999999998,0.0,0.0
22,15.0,11.266666666666648,0.09704142011834338,3.879999999999998,0.0,5.0
23,15.0,10.766666666666646,0.10154798761609918,3.719999999999998,0.0,0.0
24,15.0,10.666666666666645,0.13500000000000023,4.309999999999998,0.0,10.0
25,15.0,10.366666666666644,0.15176848874598092,4.879999999999997,0.0,5.0
26,15.0,9.866666666666642,0.15945945945946005,4.679999999999998,0.0,0.0
27,15.0,9.366666666666642,0.1679715302491107,4.479999999999997,0.0,0.0
28,15.0,8.86666666666664,0.17744360902255685,4.279999999999998,0.0,0.0
29,15.0,8.366666666666639,0.18804780876494065,4.079999999999997,0.0,0.0
30,15.0,7.866666666666638,0.20000000000000062,3.879999999999997,0.0,0.0
31,15.0,7.366666666666638,0.21357466063348474,3.679999999999997,0.0,0.0
32,15.0,7.066666666666638,0.20628930817610125,3.479999999999997,0.0,5.0
33,15.0,6.566666666666638,0.22199661590524578,3.2799999999999967,0.0,0.0
34,15.0,6.066666666666637,0.24029304029304122,3.0799999999999965,0.0,0.0
35,15.0,5.566666666666637,0.26187624750499094,2.879999999999997,0.0,0.0
36,15.0,5.066666666666637,0.28771929824561515,2.6799999999999966,0.0,0.0
