timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable
0,15.0,20.0,0.0,0.0,0.0,0.0
1,15.0,19.7,0.009475465313028675,0.0,0.0,5.0
2,15.0,19.6,0.02448979591836742,2.21,0.0,10.0
3,15.0,19.166666666666668,0.0371014492753623,2.9,4.0,5.0
4,15.0,18.8,0.031205673758865293,2.82,3.0,0.0
5,15.0,18.5,0.03603603603603611,3.4699999999999998,0.0,5.0
6,15.0,18.2,0.03956043956043964,4.83,0.0,5.0
7,15.0,17.7,0.04067796610169494,4.6899999999999995,0.0,0.0
8,15.0,17.4,0.04291187739463598,5.279999999999999,0.0,5.0
9,15.0,17.1,0.04366471734892796,5.119999999999999,0.0,5.0
10,15.0,16.8,0.05555555555555558,5.709999999999999,0.0,5.0
11,15.0,16.299999999999997,0.05725971370143168,5.529999999999999,0.0,0.0
12,15.0,15.866666666666665,0.06890756302521006,5.349999999999999,4.0,5.0
13,15.0,15.813666666666665,0.07661165096295064,7.419999999999998,1.705,10.0
14,15.0,15.313666666666661,0.07911306530840312,7.179999999999998,0.0,0.0
15,15.0,14.813666666666661,0.08178333820871142,6.939999999999998,0.0,0.0
16,15.0,14.31366666666666,0.08464016518789363,6.6999999999999975,0.0,0.0
17,15.0,13.813666666666657,0.08770380380138865,6.459999999999997,0.0,0.0
18,15.0,13.313666666666657,0.09099755472655535,6.219999999999997,0.0,0.0
19,15.0,12.813666666666656,0.09454835548849783,5.979999999999997,0.0,0.0
20,15.0,12.513666666666655,0.09347291405840763,5.739999999999997,0.0,5.0
21,15.0,12.213666666666652,0.11105228205198259,6.229999999999997,0.0,5.0
22,15.0,11.91366666666665,0.11700474711582465,6.699999999999997,0.0,5.0
23,15.0,11.81366666666665,0.11896955503512952,7.169999999999996,0.0,10.0
24,15.0,11.313666666666649,0.1242273356707233,6.869999999999996,0.0,0.0
25,15.0,10.813666666666647,0.12997133257297944,6.569999999999996,0.0,0.0
26,15.0,10.513666666666646,0.14561364573095426,7.019999999999996,0.0,5.0
27,15.0,10.213666666666645,0.15511243105642802,6.699999999999996,0.0,5.0
28,15.0,9.913666666666643,0.17863555361285854,6.3799999999999955,0.0,5.0
