timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std
0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,9.594666666666665,0.0,0.0005192396847473191,0.0,0.0065319726474219585,0.0,0.0006359361409172645
2,15.0,9.134666666666666,0.0,0.006743131638773603,0.0,0.07739078325830112,0.0,0.007991678152902406
3,15.0,8.714666666666664,0.0,0.009193180503027443,0.0,0.07756287771866129,0.0,0.008365453685199272
4,15.0,7.870666666666665,0.0,0.04724877011848529,0.0,0.16492961461719916,0.0,0.008199187038210673
5,15.0,7.098666666666665,0.0,0.04964766694362126,0.0,0.16867588907593056,0.0,0.018878693786378818
6,15.0,6.398666666666665,0.0,0.05911543270312099,0.0,0.15622775397192096,0.0,0.03524966207376297
7,15.0,5.93333333333333,0.0,0.05737547559033331,0.0,0.133998341614945,0.0,0.03900266528256571
8,15.0,6.839999999999996,0.18,0.14888366975676998,0.0,0.6396387869554017,0.5399999999999999,0.025169057850454826
9,14.6,7.7784285714285675,0.24999999999999956,0.10833849955112593,0.48989794855663565,0.5089990199082645,0.557225268630201,0.04136030016578433
10,14.6,7.984476190476187,-2.2204460492503132e-17,0.06742561194878227,0.48989794855663565,0.34506933149356367,6.66133814775094e-17,0.035553413209001385
11,14.6,7.689619047619044,-2.2204460492503132e-17,0.060269087708719284,0.48989794855663565,0.3690191571205962,6.66133814775094e-17,0.04158445294325415
12,14.6,7.901161904761899,4.103999999999999,0.11852631845824102,0.48989794855663565,0.5225634751666358,1.9876579182545466,0.041698895674081506
13,14.5,8.159666666666661,7.942,0.12943686586219585,0.5,0.5844159396150914,2.667859816407152,0.03614063744700651
14,14.4,8.047133251933246,9.879999999999999,0.13185092009650873,0.6633249580710799,0.5517922339246897,2.0179395431974676,0.04001447439848662
15,14.4,8.465849002848998,0.809999999999997,0.08632978641667557,0.6633249580710799,0.7000775687029847,0.9396275858019464,0.03654798686481555
16,14.4,8.46676838346838,3.422636363636338,0.11456237588477065,0.6633249580710799,0.692793898721159,2.0869309369351723,0.04006547281422106
17,14.4,8.374134783871336,5.458162335613985,0.13038499135162673,0.6633249580710799,0.866261269218495,3.1885712093258847,0.048935546500329094
18,14.4,8.380590868873995,7.8454908063369855,0.14817223876685134,0.6633249580710799,0.9032270030274755,3.3669630375769932,0.0604033082815664
19,14.2,8.069087519842071,8.415490806336987,0.15039508395209594,0.7483314773547884,0.8643110211017101,3.5372815235976782,0.05845955205685799
20,14.2,8.238758108029527,3.465999999999995,0.1438071465947359,0.7483314773547884,0.848932523349428,4.744976712271609,0.043971125750090614
21,14.2,8.213802636477201,5.52944540616372,0.14998660046454368,0.7483314773547884,0.8039666553378857,4.468333401308449,0.04118772148178722
22,14.2,8.22656386421434,7.02035256908165,0.14645606457508425,0.7483314773547884,0.7863084940758445,4.837541015628617,0.05478772996668141
23,14.2,8.008704882648187,7.383658291551036,0.1429992048832331,0.7483314773547884,0.7750971602103984,4.756066781014479,0.062444716477671934
24,14.2,7.753845541988847,8.279658291551037,0.14904917767261452,0.7483314773547884,0.7084856233621816,5.156142802044432,0.06687419640481262
25,14.2,8.22897575693205,2.8729991356957636,0.12749477224881506,0.7483314773547884,0.7416791854940558,2.185295567707841,0.039328163564559315
26,14.2,8.13581824777454,5.29799913569576,0.14216257664404658,0.7483314773547884,0.6243098831051382,3.0555664505338695,0.04339553423622985
27,14.2,8.001887073942811,7.048955754160718,0.1532968874777449,0.7483314773547884,0.6650634479765719,2.5157306511016726,0.04358244573266614
28,14.2,7.816002014343319,8.798969674799455,0.16615442937623287,0.7483314773547884,0.7425058675396019,2.9706981168172435,0.04643059811815033
29,14.2,7.749189996729754,10.165644279565893,0.1729432286964454,0.7483314773547884,0.7170981240159333,3.3890424615722776,0.05808677099007348
30,14.2,8.325137330202635,2.124939322624888,0.13767837893683743,0.7483314773547884,0.7578123525946543,1.7958255289799856,0.035719804210759765
31,14.2,8.376365169030475,4.666939322624887,0.14877709126311064,0.7483314773547884,0.5953700975308632,2.9959797207044,0.02717052278763461
32,14.2,8.339384491776602,6.887591881102185,0.15727039621112676,0.7483314773547884,0.5456131765943749,3.761167645408865,0.037575001444953106
33,14.0,8.271466089011836,8.39559822108369,0.15334689813326147,1.0,0.5751198701593103,4.158767368389998,0.059539316693718446
34,13.7,8.24601354488472,10.307598221083687,0.15042685605268283,1.1874342087037917,0.5382528619925693,3.6925532766750506,0.05052238963414936
35,13.7,8.799903130275874,3.417320277665356,0.11499070372988995,1.1874342087037917,0.7217453962222505,3.3570837758435523,0.030209690634229888
36,13.7,8.682240415564294,7.051397133780223,0.11436211884296303,1.1874342087037917,0.8074178608248131,6.595165063587443,0.037270593786131775
37,13.7,8.623291681991802,9.23005670879622,0.11574792201835285,1.1874342087037917,0.9041962261574641,7.368349711711661,0.04132515952087894
38,13.7,8.471337870569535,11.044367117061054,0.12363910304857897,1.1874342087037917,0.8877952227941398,6.991529867559941,0.04410016713029289
39,13.7,8.495859582134518,14.490486498531364,0.13364930046557416,1.1874342087037917,0.9472756080820727,8.656652365229785,0.049114826939539134
40,13.7,8.956191482596049,7.278421544671055,0.1164428515591129,1.1874342087037917,1.3216846091443837,8.769075431044449,0.04168763221666746
41,13.5,8.761670259860175,9.321652852630562,0.13372592975323963,1.4317821063276353,1.4049822401302836,8.563529154527819,0.05562138456365751
42,13.5,8.746435577973903,10.907906847158413,0.12563140035126746,1.4317821063276353,1.362327448139822,8.642017457636406,0.05987350689299329
43,13.5,8.576706640244964,11.837906847158411,0.12043896614256318,1.4317821063276353,1.3252915110472199,8.944962173719178,0.06865800240559777
44,13.5,8.508306321421836,15.313697843291578,0.1361375024373451,1.4317821063276353,1.4415779731328071,11.309244536783016,0.0742312064767064
45,13.5,8.714262888507212,12.1395026565143,0.12986446598314633,1.4317821063276353,1.3217572671465474,12.619650287363868,0.0720250784519512
