ideology,avg_lifespan,avg_lifespan_std,final_AvgEnergy,final_GiniEnergy,final_CommunityPool,final_TotalScar,final_MinedRenewable,final_MinedNonrenewable
capitalist,167.70000000000002,40.00784645263699,5.083333333333288,0.02033920747267568,,0.0,0.0,0.0
communist,158.23333333333335,33.485363303323375,6.808715121639653,0.027225128260281582,52.135175304901715,0.146,0.8,0.0
green_capitalist,391.09333333333336,12.116185685089,152.782787171465,0.20570046791715207,,0.0,15.6,0.0
green_communist,395.02,14.940000000000001,43.521380442898646,0.49872497597868026,363.1867948298434,0.0,17.6,0.0
green_socialist,216.51333333333332,71.79076418469316,4.925890756499296,0.11580778766736974,19.142753586996236,0.0,0.8,0.0
socialist,241.07333333333332,88.22428715747407,16.928273370916504,0.11797121946646791,444.7491777554754,0.0,6.8,0.0
