timestep,AgentsAlive,AvgEnergy,GiniEnergy,AgentsAlive_std,AvgEnergy_std,GiniEnergy_std
0,15.0,10.0,0.0,0.0,0.0,0.0
1,15.0,9.599999999999998,0.0,0.0,1.7763568394002505e-15,0.0
2,15.0,9.200000000000001,0.0,0.0,1.7763568394002505e-15,0.0
3,15.0,8.799999999999999,2.220446049250313e-16,0.0,0.0,0.0
4,15.0,9.499999999999996,0.0664157432876126,0.0,0.42190046219458,0.016496747727255234
5,15.0,10.299999999999997,0.051405181327489904,0.0,0.1612451549659712,0.009177816637087194
6,15.0,10.299999999999997,0.02439356460532933,0.0,0.2720294101747087,0.021777988466441182
7,15.0,10.08,0.011199999999999965,0.0,0.09797958971132678,0.009144761706390505
8,15.0,10.139999999999995,0.03598856039755065,0.0,0.34698703145794974,0.021659261970361048
9,15.0,10.339999999999995,0.059751482024152834,0.0,0.42000000000000004,0.010394869380787621
10,15.0,10.579999999999995,0.06470455160765862,0.0,0.44226688774991973,0.008537261909160928
11,15.0,10.659999999999997,0.057202604222211975,0.0,0.3469870314579496,0.012905257421509943
12,15.0,10.659999999999995,0.045792603554349776,0.0,0.2835489375751564,0.013184273151053054
13,15.0,10.799999999999997,0.04999108093780684,0.0,0.2828427124746191,0.02628145993786816
14,15.0,10.879999999999994,0.0689462148085275,0.0,0.4399999999999998,0.020208706506207406
15,15.0,11.019999999999992,0.073416357702031,0.0,0.4853864439804641,0.013935910787863517
16,15.0,11.139999999999993,0.07179294845094034,0.0,0.4386342439892261,0.012855230413480998
17,15.0,11.159999999999993,0.07480205997068212,0.0,0.47159304490206366,0.02250968811583099
18,15.0,11.239999999999995,0.07939387478882191,0.0,0.39799497484264784,0.02311475790012341
19,15.0,11.239999999999993,0.06811174585476092,0.0,0.4270831300812524,0.026026030713758565
20,15.0,11.279999999999992,0.07621578985798949,0.0,0.5381449618829482,0.02520337242891212
21,15.0,11.479999999999992,0.08395869317189583,0.0,0.56,0.02126895521033098
22,15.0,11.546666666666658,0.08500260737789041,0.0,0.5528109984434101,0.021661847016280513
23,15.0,11.493333333333327,0.0848996907971002,0.0,0.44241760061432145,0.017383797793271007
24,15.0,11.453333333333326,0.09074393654054687,0.0,0.4777726097911709,0.02421832596075969
25,15.0,11.613333333333324,0.09899323957532868,0.0,0.692050094525919,0.027047890607230764
26,15.0,11.63999999999999,0.10801965950027499,0.0,0.7496369491664318,0.026665966289117892
27,15.0,11.613333333333324,0.1213077426377938,0.0,0.6618492611195123,0.03270451624364632
28,15.0,11.513333333333323,0.12010852234313625,0.0,0.7099608752913392,0.031278182448724004
29,15.0,11.57999999999999,0.13173971716561,0.0,0.7978025375297378,0.03213694404663244
30,14.9,11.554285714285705,0.13143391368919954,0.3,0.7454509052608326,0.025676397439283457
31,14.9,11.493333333333323,0.14267493061218636,0.3,0.7346654567443149,0.02628379353985438
32,14.9,11.422857142857131,0.1420969410069221,0.3,0.6833185662914105,0.027275252199715088
33,14.8,11.45095238095237,0.14987533975268869,0.4,0.713116662369952,0.02509172436571057
34,14.8,11.258571428571418,0.16506921030546104,0.4,0.8007254363948955,0.031554839078637015
35,14.8,11.208095238095225,0.17106403597255856,0.4,0.9403913162425521,0.034421042171467235
36,14.8,11.08438095238094,0.1790917418575295,0.4,0.9259796014071922,0.031185739496432805
37,14.8,10.897714285714274,0.1903101832903496,0.4,1.0559945887307243,0.0402086435219566
38,14.7,10.82320879120878,0.1920338859611407,0.6403124237432849,1.0265472400507263,0.03730924495911601
39,14.7,10.677054945054934,0.20392298344633425,0.6403124237432849,0.9873338572173801,0.03413579824643889
40,14.6,10.471670329670319,0.20637286052420176,0.6633249580710799,1.1326048552730505,0.04042833041952513
41,14.6,10.308666666666655,0.22592599140290784,0.6633249580710799,1.3044522712200535,0.04341433009298145
42,14.6,10.161267399267386,0.23732584973515256,0.6633249580710799,1.3772700279406156,0.05593649486335883
43,14.6,9.968153846153834,0.25192169803988457,0.6633249580710799,1.2700866357502212,0.05598593233669303
44,14.5,10.011523809523798,0.24744691933807283,0.9219544457292888,1.2136538748305286,0.06419481608668881
45,14.2,10.027307692307682,0.24086975550255713,0.9797958971132712,0.9830374903682852,0.04710906451870665
46,14.1,9.864285714285701,0.24352843361149876,1.1357816691600546,0.8642358637073069,0.0436556777782979
47,14.1,9.622619047619036,0.2551155185396722,1.1357816691600546,0.8071346045371061,0.038519202913788284
48,13.7,9.781603396603384,0.2451145209727678,1.345362404707371,0.7801589647279513,0.03385358808001067
49,13.7,9.62570779220778,0.25194140654298225,1.345362404707371,0.6610552249051367,0.035890790811176534
50,13.6,9.523841325341312,0.2594325160494179,1.42828568570857,0.6661107860869111,0.044690016585653365
51,13.6,9.215692807192793,0.2678157105682889,1.42828568570857,0.6878040683118812,0.045148555480901076
52,13.6,8.966283499833487,0.27958402443642066,1.42828568570857,0.7090930663094416,0.056568888321851515
53,13.4,9.033112087912075,0.27532724418433163,1.3564659966250536,0.8028712853764757,0.06061664735995396
54,13.3,8.954529212454199,0.27964478099855883,1.4177446878757824,0.9193574823540658,0.06569717167114097
55,13.0,9.011870454545441,0.2620625590845161,1.1832159566199232,0.7643097575270101,0.06020561286821009
56,12.9,8.805405253080242,0.2701216824165653,1.1357816691600546,0.8929185913632424,0.06479165330969687
57,12.9,8.65051514319013,0.28351033349529553,1.1357816691600546,1.105519966242055,0.06519021222747663
58,12.5,8.865003987678975,0.2746128159684079,1.3601470508735443,1.3872299874700322,0.06366664094772634
59,12.4,8.763472810522797,0.27931542592782066,1.42828568570857,1.4062028951949321,0.07124867659176
60,12.3,8.847890614940601,0.2758862167109878,1.6155494421403511,1.6143735031954713,0.08058703716238853
61,12.2,8.786462501387486,0.28179644407136767,1.5999999999999999,1.737023733040202,0.08474445157702093
62,11.9,8.823544927294913,0.2784730042979489,1.5132745950421556,1.8270749190798672,0.0832787988778635
63,11.6,9.136076978576964,0.25633485716847293,1.42828568570857,1.7501140630650505,0.08693949500100852
64,11.6,8.897472249972235,0.26056407162461764,1.42828568570857,2.0424606498129245,0.07818326278263933
65,11.3,9.050800888000875,0.26660485504655596,1.5524174696260022,1.986454191770397,0.06593331451603836
66,11.3,9.028740881340868,0.27475561045084984,1.5524174696260022,1.9228557140920606,0.07239829148138215
67,11.3,8.640371472971458,0.2918546897479826,1.5524174696260022,1.8428240981103754,0.083572186479455
68,10.8,8.901165306915294,0.26699480907354467,1.7776388834631176,1.5941110400564795,0.08132590420513174
69,10.7,8.821145271395256,0.25526894835937475,1.7349351572897471,1.5748936934175828,0.07261846384395737
70,10.4,9.05323490398489,0.24446075044410528,2.009975124224178,1.4575224361121937,0.06307718194146449
71,10.4,8.871298507048492,0.25849365661677864,2.009975124224178,1.620809188617761,0.0655532424463614
72,10.4,8.557396631146617,0.2608051680784027,2.009975124224178,1.7292824065231047,0.05997579350940234
73,10.3,8.661144383394369,0.2554278395283783,2.147091055358389,1.7281654260327823,0.04508209704791381
74,10.0,8.800219086469072,0.24161112611885116,2.4083189157584592,1.825353097244212,0.04460980448346801
75,9.9,8.850668303918289,0.2410010791147549,2.5475478405713994,1.7951543837391728,0.06311260904108398
76,9.7,8.970311327561314,0.22872806631585285,2.685144316419511,1.6454578681635743,0.042748838895694946
77,9.7,8.846883921633907,0.24745675396993755,2.685144316419511,1.6278665215620027,0.041203789396195734
78,9.6,8.980581890331873,0.24142603960977443,2.5768197453450252,1.9610868924723546,0.060188753984820424
79,9.6,9.02791955266954,0.23786340973562564,2.5768197453450252,2.0668916146151397,0.05713904507961604
80,9.5,9.10979184704183,0.22539934334144957,2.539685019840059,2.3104653495369956,0.06668493985485016
81,9.3,9.096221445221428,0.21732816637234995,2.3685438564654024,2.456579041469322,0.08727509936366037
82,9.3,9.109727661227645,0.20908098703386155,2.3685438564654024,2.445317350974495,0.07519892925070337
83,9.3,9.170426961926944,0.2044813321761661,2.3685438564654024,2.6452397310669133,0.08413077758219058
84,9.2,9.286033022533005,0.20605235640548702,2.5612496949731396,2.225517397443355,0.09257034153023946
85,9.2,9.424069153069134,0.20479814328520254,2.5612496949731396,2.1200120165501914,0.0892309602413731
86,9.2,9.398678710178691,0.22003747889653474,2.5612496949731396,2.1970044002319904,0.1057488319527666
87,9.2,9.439561577311558,0.21549620441521955,2.5612496949731396,2.1696761067018144,0.08096477153234094
88,9.1,9.748184704184686,0.21099847670339308,2.6248809496813372,2.0038506309834445,0.07316923845013425
89,9.0,9.819653418803401,0.2030637417727791,2.569046515733026,1.9269925211345025,0.07324511799846765
90,9.0,9.984598473748454,0.19258728429182564,2.569046515733026,1.8268030665868031,0.07837410516341996
91,9.0,9.842534981684961,0.18501217020662455,2.569046515733026,1.7668104092036274,0.06627731028984087
92,9.0,9.945099084249065,0.19315269656374565,2.569046515733026,1.5505805454691646,0.06466227709155074
93,8.7,10.503986752136733,0.1789391288082868,2.6476404589747453,1.5950825334364738,0.06913896869197254
94,8.7,10.523452564102545,0.1858002564860809,2.6476404589747453,1.6890337563613118,0.07583407479687714
95,8.7,10.465161965811944,0.18411207088778636,2.6476404589747453,1.5428386930500755,0.07654057384570855
96,8.7,10.215828632478612,0.19363865338461458,2.6476404589747453,1.6834905705552763,0.08122265587864269
