step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,5.0,0.0,5.0,5.0
7,0.0,10.0,0.0,15.0,15.0
8,0.0,0.0,0.0,15.0,15.0
9,0.0,10.0,0.0,25.0,25.0
10,0.0,0.0,0.0,25.0,25.0
11,0.0,5.0,0.0,30.0,30.0
12,0.0,10.0,0.0,40.0,40.0
13,0.0,0.0,0.0,40.0,40.0
14,0.0,5.0,0.0,45.0,45.0
15,4.0,5.0,4.0,50.0,54.0
16,2.0,5.0,6.0,55.0,61.0
17,0.0,10.0,6.0,65.0,71.0
18,0.0,5.0,6.0,70.0,76.0
19,0.0,0.0,6.0,70.0,76.0
20,0.0,10.0,6.0,80.0,86.0
21,0.0,0.0,6.0,80.0,86.0
22,0.0,0.0,6.0,80.0,86.0
23,0.0,10.0,6.0,90.0,96.0
24,0.0,5.0,6.0,95.0,101.0
25,0.0,0.0,6.0,95.0,101.0
26,0.0,0.0,6.0,95.0,101.0
27,0.0,5.0,6.0,100.0,106.0
28,0.0,0.0,6.0,100.0,106.0
29,0.0,0.0,6.0,100.0,106.0
30,0.0,5.0,6.0,105.0,111.0
31,0.0,0.0,6.0,105.0,111.0
32,0.0,10.0,6.0,115.0,121.0
33,0.0,0.0,6.0,115.0,121.0
34,0.0,0.0,6.0,115.0,121.0
35,0.0,5.0,6.0,120.0,126.0
36,0.0,0.0,6.0,120.0,126.0
37,0.0,5.0,6.0,125.0,131.0
38,0.0,5.0,6.0,130.0,136.0
39,0.0,5.0,6.0,135.0,141.0
40,0.0,0.0,6.0,135.0,141.0
41,0.0,0.0,6.0,135.0,141.0
42,0.0,0.0,6.0,135.0,141.0
43,0.0,0.0,6.0,135.0,141.0
44,0.0,5.0,6.0,140.0,146.0
45,0.0,0.0,6.0,140.0,146.0
46,4.0,0.0,10.0,140.0,150.0
47,0.0,0.0,10.0,140.0,150.0
48,2.0,0.0,12.0,140.0,152.0
49,0.0,0.0,12.0,140.0,152.0
50,0.0,0.0,12.0,140.0,152.0
51,0.0,0.0,12.0,140.0,152.0
52,2.0,10.0,14.0,150.0,164.0
53,0.0,0.0,14.0,150.0,164.0
54,0.0,0.0,14.0,150.0,164.0
55,0.0,5.0,14.0,155.0,169.0
56,2.0,0.0,16.0,155.0,171.0
57,0.0,5.0,16.0,160.0,176.0
58,0.0,0.0,16.0,160.0,176.0
59,2.0,0.0,18.0,160.0,178.0
60,0.0,5.0,18.0,165.0,183.0
61,4.0,0.0,22.0,165.0,187.0
62,4.0,0.0,26.0,165.0,191.0
63,3.935,0.0,29.935,165.0,194.935
64,0.0,0.0,29.935,165.0,194.935
65,0.0,0.0,29.935,165.0,194.935
66,0.0,0.0,29.935,165.0,194.935
67,2.9250000000000007,0.0,32.86,165.0,197.86
68,0.0,0.0,32.86,165.0,197.86
69,0.0,0.0,32.86,165.0,197.86
70,0.0,0.0,32.86,165.0,197.86
71,4.0,0.0,36.86,165.0,201.86
72,0.0,5.0,36.86,170.0,206.86
73,4.0,0.0,40.86,170.0,210.86
