step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,5.0,0.0,5.0,5.0
2,0.0,5.0,0.0,10.0,10.0
3,0.0,5.0,0.0,15.0,15.0
4,0.0,0.0,0.0,15.0,15.0
5,0.0,0.0,0.0,15.0,15.0
6,0.0,0.0,0.0,15.0,15.0
7,0.0,0.0,0.0,15.0,15.0
8,0.0,5.0,0.0,20.0,20.0
9,0.0,5.0,0.0,25.0,25.0
10,0.0,0.0,0.0,25.0,25.0
11,0.0,0.0,0.0,25.0,25.0
12,0.0,5.0,0.0,30.0,30.0
13,0.0,5.0,0.0,35.0,35.0
14,0.0,5.0,0.0,40.0,40.0
15,4.0,5.0,4.0,45.0,49.0
16,2.0,0.0,6.0,45.0,51.0
17,0.0,5.0,6.0,50.0,56.0
18,0.0,5.0,6.0,55.0,61.0
19,0.0,5.0,6.0,60.0,66.0
20,0.0,0.0,6.0,60.0,66.0
21,0.0,0.0,6.0,60.0,66.0
22,0.0,5.0,6.0,65.0,71.0
23,0.0,5.0,6.0,70.0,76.0
24,0.0,5.0,6.0,75.0,81.0
25,0.0,10.0,6.0,85.0,91.0
26,0.0,5.0,6.0,90.0,96.0
27,0.0,0.0,6.0,90.0,96.0
28,0.0,0.0,6.0,90.0,96.0
29,0.0,5.0,6.0,95.0,101.0
30,0.0,5.0,6.0,100.0,106.0
31,0.0,0.0,6.0,100.0,106.0
32,0.0,5.0,6.0,105.0,111.0
33,0.0,0.0,6.0,105.0,111.0
34,0.0,0.0,6.0,105.0,111.0
35,0.0,5.0,6.0,110.0,116.0
36,0.0,0.0,6.0,110.0,116.0
37,0.0,0.0,6.0,110.0,116.0
38,0.0,0.0,6.0,110.0,116.0
39,0.0,0.0,6.0,110.0,116.0
40,0.0,0.0,6.0,110.0,116.0
41,0.0,5.0,6.0,115.0,121.0
42,0.0,0.0,6.0,115.0,121.0
43,0.0,5.0,6.0,120.0,126.0
44,0.0,0.0,6.0,120.0,126.0
45,0.0,0.0,6.0,120.0,126.0
46,0.0,0.0,6.0,120.0,126.0
47,0.0,0.0,6.0,120.0,126.0
48,0.0,0.0,6.0,120.0,126.0
49,0.0,0.0,6.0,120.0,126.0
50,0.0,0.0,6.0,120.0,126.0
51,0.0,5.0,6.0,125.0,131.0
52,0.0,0.0,6.0,125.0,131.0
53,0.0,0.0,6.0,125.0,131.0
54,4.0,0.0,10.0,125.0,135.0
55,4.0,0.0,14.0,125.0,139.0
56,6.0,0.0,20.0,125.0,145.0
57,0.0,0.0,20.0,125.0,145.0
58,0.0,0.0,20.0,125.0,145.0
59,8.0,0.0,28.0,125.0,153.0
60,3.0,0.0,31.0,125.0,156.0
61,0.0,0.0,31.0,125.0,156.0
62,0.0,0.0,31.0,125.0,156.0
63,0.0,0.0,31.0,125.0,156.0
64,0.0,5.0,31.0,130.0,161.0
65,0.0,5.0,31.0,135.0,166.0
66,0.0,5.0,31.0,140.0,171.0
67,0.0,0.0,31.0,140.0,171.0
68,4.0,0.0,35.0,140.0,175.0
69,3.0,5.0,38.0,145.0,183.0
70,0.0,5.0,38.0,150.0,188.0
71,0.0,0.0,38.0,150.0,188.0
72,0.0,0.0,38.0,150.0,188.0
73,0.0,0.0,38.0,150.0,188.0
74,0.0,0.0,38.0,150.0,188.0
75,0.0,0.0,38.0,150.0,188.0
76,0.0,0.0,38.0,150.0,188.0
77,0.0,0.0,38.0,150.0,188.0
78,0.0,0.0,38.0,150.0,188.0
79,0.0,5.0,38.0,155.0,193.0
80,0.0,0.0,38.0,155.0,193.0
81,0.0,0.0,38.0,155.0,193.0
82,0.0,0.0,38.0,155.0,193.0
83,0.0,5.0,38.0,160.0,198.0
84,0.0,0.0,38.0,160.0,198.0
85,0.0,0.0,38.0,160.0,198.0
86,0.0,5.0,38.0,165.0,203.0
87,0.0,5.0,38.0,170.0,208.0
88,0.0,5.0,38.0,175.0,213.0
89,0.0,0.0,38.0,175.0,213.0
90,0.0,0.0,38.0,175.0,213.0
91,0.0,0.0,38.0,175.0,213.0
92,0.0,0.0,38.0,175.0,213.0
93,0.0,0.0,38.0,175.0,213.0
94,0.0,10.0,38.0,185.0,223.0
95,0.0,5.0,38.0,190.0,228.0
96,0.0,5.0,38.0,195.0,233.0
97,0.0,5.0,38.0,200.0,238.0
98,0.0,5.0,38.0,205.0,243.0
99,0.0,5.0,38.0,210.0,248.0
100,0.0,5.0,38.0,215.0,253.0
101,0.0,0.0,38.0,215.0,253.0
102,0.0,5.0,38.0,220.0,258.0
103,0.0,0.0,38.0,220.0,258.0
104,4.0,5.0,42.0,225.0,267.0
105,2.0,5.0,44.0,230.0,274.0
106,0.0,0.0,44.0,230.0,274.0
107,0.0,0.0,44.0,230.0,274.0
108,4.0,0.0,48.0,230.0,278.0
109,0.0,0.0,48.0,230.0,278.0
110,5.0,5.0,53.0,235.0,288.0
111,4.0,0.0,57.0,235.0,292.0
112,3.0,0.0,60.0,235.0,295.0
113,0.0,0.0,60.0,235.0,295.0
114,0.0,0.0,60.0,235.0,295.0
115,0.0,0.0,60.0,235.0,295.0
116,0.0,0.0,60.0,235.0,295.0
117,0.0,0.0,60.0,235.0,295.0
118,0.0,0.0,60.0,235.0,295.0
119,0.0,0.0,60.0,235.0,295.0
120,0.0,0.0,60.0,235.0,295.0
121,0.0,0.0,60.0,235.0,295.0
122,0.0,5.0,60.0,240.0,300.0
123,0.0,0.0,60.0,240.0,300.0
124,0.0,0.0,60.0,240.0,300.0
125,0.0,0.0,60.0,240.0,300.0
126,0.0,0.0,60.0,240.0,300.0
127,0.0,5.0,60.0,245.0,305.0
128,0.0,0.0,60.0,245.0,305.0
129,0.0,5.0,60.0,250.0,310.0
130,4.0,0.0,64.0,250.0,314.0
131,0.0,0.0,64.0,250.0,314.0
132,0.0,0.0,64.0,250.0,314.0
133,0.0,0.0,64.0,250.0,314.0
134,0.0,0.0,64.0,250.0,314.0
135,0.0,10.0,64.0,260.0,324.0
136,0.0,0.0,64.0,260.0,324.0
137,0.0,5.0,64.0,265.0,329.0
138,0.0,0.0,64.0,265.0,329.0
139,0.0,0.0,64.0,265.0,329.0
140,0.0,0.0,64.0,265.0,329.0
141,0.0,0.0,64.0,265.0,329.0
142,0.0,0.0,64.0,265.0,329.0
143,0.0,5.0,64.0,270.0,334.0
144,0.0,0.0,64.0,270.0,334.0
145,0.0,0.0,64.0,270.0,334.0
146,0.0,0.0,64.0,270.0,334.0
147,0.0,0.0,64.0,270.0,334.0
148,0.0,0.0,64.0,270.0,334.0
149,0.0,0.0,64.0,270.0,334.0
150,0.0,0.0,64.0,270.0,334.0
151,0.0,0.0,64.0,270.0,334.0
152,0.0,0.0,64.0,270.0,334.0
153,0.0,0.0,64.0,270.0,334.0
154,0.0,0.0,64.0,270.0,334.0
155,0.0,0.0,64.0,270.0,334.0
156,0.0,0.0,64.0,270.0,334.0
157,0.0,0.0,64.0,270.0,334.0
158,0.0,0.0,64.0,270.0,334.0
159,0.0,0.0,64.0,270.0,334.0
160,0.0,0.0,64.0,270.0,334.0
161,0.0,0.0,64.0,270.0,334.0
162,0.0,0.0,64.0,270.0,334.0
163,0.0,0.0,64.0,270.0,334.0
