Step,Ideology_adaptive,Ideology_adaptive_direct,AvgEnergy,CommunityPool,TotalScar,Renewables,NonRenewables,InfrastructureSites,AgentsAlive,GiniEnergy,AvgAdaptiveReward,MinedRenewable,MinedNonrenewable,AvgAdaptiveEpsilon,AvgAdaptiveEpsilonGlobal,run
1000,15,0,11.266666666666657,0.0,0.0,100,100,0,15,0.35345167652860043,0.8666666666666667,0.0,0,0.5572334501472722,0.05,0
1000,15,0,11.199999999999989,0.0,0.0,100,100,0,15,0.32261904761904847,0.9333333333333333,0.0,0,0.5610192296988249,0.05,1
1000,15,0,8.599999999999984,0.0,0.0,100,100,0,15,0.39948320413436855,0.9333333333333333,0.0,0,0.5602498248635365,0.05,2
1000,15,0,11.266666666666653,0.0,0.0,100,100,0,15,0.3057199211045376,0.9333333333333332,0.0,0,0.5579877746477888,0.05,3
1000,15,0,10.866666666666651,0.0,0.0,100,100,0,15,0.2912065439672813,0.9999999999999999,0.0,0,0.561003841602119,0.05,4
1000,15,0,11.199999999999989,0.0,0.0,100,100,0,15,0.2396825396825406,0.9999999999999999,4.0,0,0.5572485304820439,0.05,5
1000,15,0,9.299999999999983,0.0,0.0,100,100,0,15,0.3321385902031073,0.9333333333333333,0.0,0,0.561003841602119,0.05,6
1000,15,0,11.43333333333332,0.0,0.0,100,100,0,15,0.2623906705539367,0.9999999999999999,0.0,0,0.5594955003630199,0.05,7
1000,15,0,8.166666666666648,0.0,0.0,100,100,0,15,0.3406802721088449,1.0,0.0,0,0.5617578583407016,0.05,8
1000,15,0,9.899999999999984,0.0,0.0,100,100,0,15,0.3259259259259273,0.9333333333333333,0.0,0,0.5609884535054133,0.05,9
