step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,0.0,0.0,0.0,0.0
2,0.0,5.0,0.0,5.0,5.0
3,0.0,10.0,0.0,15.0,15.0
4,0.0,0.0,0.0,15.0,15.0
5,0.0,0.0,0.0,15.0,15.0
6,0.0,0.0,0.0,15.0,15.0
7,0.0,0.0,0.0,15.0,15.0
8,0.0,5.0,0.0,20.0,20.0
9,0.0,0.0,0.0,20.0,20.0
10,0.0,5.0,0.0,25.0,25.0
11,0.0,0.0,0.0,25.0,25.0
12,0.0,10.0,0.0,35.0,35.0
13,0.0,5.0,0.0,40.0,40.0
14,0.0,5.0,0.0,45.0,45.0
15,0.0,0.0,0.0,45.0,45.0
16,0.0,10.0,0.0,55.0,55.0
17,0.0,5.0,0.0,60.0,60.0
18,0.0,5.0,0.0,65.0,65.0
19,0.0,0.0,0.0,65.0,65.0
20,0.0,5.0,0.0,70.0,70.0
21,0.0,0.0,0.0,70.0,70.0
22,0.0,10.0,0.0,80.0,80.0
23,0.0,0.0,0.0,80.0,80.0
24,0.0,0.0,0.0,80.0,80.0
25,0.0,0.0,0.0,80.0,80.0
26,0.0,5.0,0.0,85.0,85.0
27,0.0,0.0,0.0,85.0,85.0
28,0.0,5.0,0.0,90.0,90.0
29,0.0,5.0,0.0,95.0,95.0
30,0.0,0.0,0.0,95.0,95.0
31,0.0,0.0,0.0,95.0,95.0
32,0.0,10.0,0.0,105.0,105.0
33,0.0,0.0,0.0,105.0,105.0
34,0.0,0.0,0.0,105.0,105.0
35,0.0,5.0,0.0,110.0,110.0
36,0.0,0.0,0.0,110.0,110.0
37,0.0,0.0,0.0,110.0,110.0
38,0.0,0.0,0.0,110.0,110.0
39,0.0,0.0,0.0,110.0,110.0
40,0.0,0.0,0.0,110.0,110.0
41,0.0,0.0,0.0,110.0,110.0
42,0.0,0.0,0.0,110.0,110.0
43,4.0,0.0,4.0,110.0,114.0
44,3.0,0.0,7.0,110.0,117.0
45,0.0,0.0,7.0,110.0,117.0
46,0.0,0.0,7.0,110.0,117.0
47,0.0,0.0,7.0,110.0,117.0
48,0.0,5.0,7.0,115.0,122.0
49,0.0,0.0,7.0,115.0,122.0
50,0.0,0.0,7.0,115.0,122.0
51,0.0,0.0,7.0,115.0,122.0
52,0.0,0.0,7.0,115.0,122.0
53,0.0,5.0,7.0,120.0,127.0
54,0.0,10.0,7.0,130.0,137.0
55,0.0,5.0,7.0,135.0,142.0
56,0.0,5.0,7.0,140.0,147.0
57,0.0,0.0,7.0,140.0,147.0
58,4.0,0.0,11.0,140.0,151.0
59,0.0,10.0,11.0,150.0,161.0
60,0.0,0.0,11.0,150.0,161.0
61,0.0,0.0,11.0,150.0,161.0
62,0.0,5.0,11.0,155.0,166.0
63,0.0,5.0,11.0,160.0,171.0
64,0.0,5.0,11.0,165.0,176.0
65,0.0,0.0,11.0,165.0,176.0
66,0.0,0.0,11.0,165.0,176.0
67,0.0,0.0,11.0,165.0,176.0
68,0.0,0.0,11.0,165.0,176.0
69,4.0,5.0,15.0,170.0,185.0
70,5.0,0.0,20.0,170.0,190.0
71,0.0,0.0,20.0,170.0,190.0
72,0.0,0.0,20.0,170.0,190.0
73,4.0,0.0,24.0,170.0,194.0
74,0.0,5.0,24.0,175.0,199.0
75,2.96,0.0,26.96,175.0,201.96
76,0.0,0.0,26.96,175.0,201.96
77,0.0,0.0,26.96,175.0,201.96
78,0.0,0.0,26.96,175.0,201.96
79,0.0,0.0,26.96,175.0,201.96
80,2.3850000000000007,0.0,29.345000000000002,175.0,204.345
81,0.0,5.0,29.345000000000002,180.0,209.345
82,0.0,5.0,29.345000000000002,185.0,214.345
83,0.0,0.0,29.345000000000002,185.0,214.345
84,0.0,0.0,29.345000000000002,185.0,214.345
85,0.0,0.0,29.345000000000002,185.0,214.345
86,0.0,0.0,29.345000000000002,185.0,214.345
87,4.0,5.0,33.345,190.0,223.345
88,0.0,0.0,33.345,190.0,223.345
89,0.0,5.0,33.345,195.0,228.345
90,0.0,0.0,33.345,195.0,228.345
91,0.0,10.0,33.345,205.0,238.345
92,0.0,10.0,33.345,215.0,248.345
93,0.0,5.0,33.345,220.0,253.345
94,0.0,0.0,33.345,220.0,253.345
95,0.0,0.0,33.345,220.0,253.345
96,0.0,0.0,33.345,220.0,253.345
97,0.0,5.0,33.345,225.0,258.345
98,0.0,0.0,33.345,225.0,258.345
99,0.0,0.0,33.345,225.0,258.345
100,0.0,5.0,33.345,230.0,263.345
101,0.0,0.0,33.345,230.0,263.345
102,0.0,5.0,33.345,235.0,268.345
103,0.0,0.0,33.345,235.0,268.345
104,0.0,5.0,33.345,240.0,273.345
105,0.0,5.0,33.345,245.0,278.345
106,0.0,0.0,33.345,245.0,278.345
107,0.0,5.0,33.345,250.0,283.345
108,0.0,0.0,33.345,250.0,283.345
109,0.0,0.0,33.345,250.0,283.345
110,0.0,0.0,33.345,250.0,283.345
111,0.0,0.0,33.345,250.0,283.345
112,0.0,5.0,33.345,255.0,288.345
113,0.0,0.0,33.345,255.0,288.345
114,0.0,0.0,33.345,255.0,288.345
115,4.0,0.0,37.345,255.0,292.345
116,0.0,5.0,37.345,260.0,297.345
117,3.0,0.0,40.345,260.0,300.345
118,0.0,0.0,40.345,260.0,300.345
119,0.0,0.0,40.345,260.0,300.345
120,0.0,0.0,40.345,260.0,300.345
121,0.0,10.0,40.345,270.0,310.345
122,0.0,0.0,40.345,270.0,310.345
123,0.0,5.0,40.345,275.0,315.345
124,0.0,0.0,40.345,275.0,315.345
125,0.0,0.0,40.345,275.0,315.345
126,0.0,0.0,40.345,275.0,315.345
127,0.0,0.0,40.345,275.0,315.345
128,0.0,0.0,40.345,275.0,315.345
129,0.0,5.0,40.345,280.0,320.345
130,4.0,5.0,44.345,285.0,329.345
131,0.0,0.0,44.345,285.0,329.345
132,4.0,0.0,48.345,285.0,333.345
133,3.0,0.0,51.345,285.0,336.345
134,0.0,0.0,51.345,285.0,336.345
135,1.0,0.0,52.345,285.0,337.345
136,0.0,0.0,52.345,285.0,337.345
137,0.0,5.0,52.345,290.0,342.345
138,0.0,0.0,52.345,290.0,342.345
139,0.0,5.0,52.345,295.0,347.345
140,4.0,0.0,56.345,295.0,351.345
141,2.0,0.0,58.345,295.0,353.345
142,0.0,0.0,58.345,295.0,353.345
143,0.0,0.0,58.345,295.0,353.345
144,0.0,0.0,58.345,295.0,353.345
145,0.0,0.0,58.345,295.0,353.345
146,0.0,5.0,58.345,300.0,358.345
147,0.0,5.0,58.345,305.0,363.345
148,0.0,0.0,58.345,305.0,363.345
149,0.0,10.0,58.345,315.0,373.345
150,0.0,0.0,58.345,315.0,373.345
151,0.0,5.0,58.345,320.0,378.345
152,0.0,0.0,58.345,320.0,378.345
153,0.0,0.0,58.345,320.0,378.345
154,0.0,0.0,58.345,320.0,378.345
155,0.0,0.0,58.345,320.0,378.345
156,0.0,0.0,58.345,320.0,378.345
157,0.0,0.0,58.345,320.0,378.345
158,0.0,0.0,58.345,320.0,378.345
159,0.0,0.0,58.345,320.0,378.345
160,0.0,0.0,58.345,320.0,378.345
161,0.0,0.0,58.345,320.0,378.345
162,0.0,5.0,58.345,325.0,383.345
163,0.0,5.0,58.345,330.0,388.345
164,0.0,0.0,58.345,330.0,388.345
165,0.0,0.0,58.345,330.0,388.345
166,0.0,0.0,58.345,330.0,388.345
167,0.0,0.0,58.345,330.0,388.345
168,0.0,0.0,58.345,330.0,388.345
169,0.0,0.0,58.345,330.0,388.345
170,0.0,0.0,58.345,330.0,388.345
171,0.0,0.0,58.345,330.0,388.345
172,0.0,0.0,58.345,330.0,388.345
173,0.0,0.0,58.345,330.0,388.345
174,0.0,0.0,58.345,330.0,388.345
175,0.0,0.0,58.345,330.0,388.345
176,0.0,0.0,58.345,330.0,388.345
177,0.0,0.0,58.345,330.0,388.345
178,0.0,0.0,58.345,330.0,388.345
179,0.0,0.0,58.345,330.0,388.345
180,0.0,0.0,58.345,330.0,388.345
181,0.0,0.0,58.345,330.0,388.345
