step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,0.0,0.0,0.0,0.0
2,0.0,5.0,0.0,5.0,5.0
3,0.0,10.0,0.0,15.0,15.0
4,0.0,5.0,0.0,20.0,20.0
5,0.0,5.0,0.0,25.0,25.0
6,0.0,5.0,0.0,30.0,30.0
7,4.0,0.0,4.0,30.0,34.0
8,1.675,0.0,5.675,30.0,35.675
9,0.0,15.0,5.675,45.0,50.675
10,0.0,5.0,5.675,50.0,55.675
11,0.0,15.0,5.675,65.0,70.675
12,0.0,5.0,5.675,70.0,75.675
13,8.0,0.0,13.675,70.0,83.675
14,2.0,5.0,15.675,75.0,90.675
15,0.0,5.0,15.675,80.0,95.675
16,0.0,0.0,15.675,80.0,95.675
17,0.0,0.0,15.675,80.0,95.675
18,0.0,10.0,15.675,90.0,105.675
19,0.0,0.0,15.675,90.0,105.675
20,4.0,0.0,19.675,90.0,109.675
21,2.0,0.0,21.675,90.0,111.675
22,0.0,5.0,21.675,95.0,116.675
23,0.0,10.0,21.675,105.0,126.675
24,0.0,0.0,21.675,105.0,126.675
25,0.0,5.0,21.675,110.0,131.675
26,0.0,5.0,21.675,115.0,136.675
27,0.0,0.0,21.675,115.0,136.675
28,0.0,5.0,21.675,120.0,141.675
29,0.0,5.0,21.675,125.0,146.675
30,0.0,0.0,21.675,125.0,146.675
31,0.0,0.0,21.675,125.0,146.675
32,0.0,5.0,21.675,130.0,151.675
33,0.0,0.0,21.675,130.0,151.675
34,0.0,0.0,21.675,130.0,151.675
35,0.0,5.0,21.675,135.0,156.675
36,0.0,0.0,21.675,135.0,156.675
37,0.0,5.0,21.675,140.0,161.675
38,0.0,0.0,21.675,140.0,161.675
39,0.0,0.0,21.675,140.0,161.675
40,0.0,0.0,21.675,140.0,161.675
41,0.0,5.0,21.675,145.0,166.675
42,0.0,0.0,21.675,145.0,166.675
43,4.0,0.0,25.675,145.0,170.675
44,2.0,5.0,27.675,150.0,177.675
45,0.0,0.0,27.675,150.0,177.675
46,0.0,0.0,27.675,150.0,177.675
47,0.0,0.0,27.675,150.0,177.675
48,0.0,0.0,27.675,150.0,177.675
49,0.0,0.0,27.675,150.0,177.675
50,0.0,0.0,27.675,150.0,177.675
51,0.0,0.0,27.675,150.0,177.675
52,4.0,0.0,31.675,150.0,181.675
53,2.0,0.0,33.675,150.0,183.675
54,4.0,0.0,37.675,150.0,187.675
55,3.0,5.0,40.675,155.0,195.675
56,8.0,0.0,48.675,155.0,203.675
57,5.0,5.0,53.675,160.0,213.675
58,0.0,5.0,53.675,165.0,218.675
59,4.0,0.0,57.675,165.0,222.675
60,6.0,5.0,63.675,170.0,233.675
61,0.0,5.0,63.675,175.0,238.675
62,0.0,0.0,63.675,175.0,238.675
63,0.0,0.0,63.675,175.0,238.675
64,0.0,0.0,63.675,175.0,238.675
65,4.0,5.0,67.675,180.0,247.675
66,2.0,0.0,69.675,180.0,249.675
67,0.0,0.0,69.675,180.0,249.675
68,0.0,0.0,69.675,180.0,249.675
69,0.0,5.0,69.675,185.0,254.675
70,0.0,5.0,69.675,190.0,259.675
71,0.0,0.0,69.675,190.0,259.675
72,4.0,5.0,73.675,195.0,268.675
73,0.0,0.0,73.675,195.0,268.675
74,0.0,0.0,73.675,195.0,268.675
75,0.0,5.0,73.675,200.0,273.675
76,0.0,0.0,73.675,200.0,273.675
77,0.0,0.0,73.675,200.0,273.675
78,0.0,5.0,73.675,205.0,278.675
79,0.0,0.0,73.675,205.0,278.675
80,0.0,0.0,73.675,205.0,278.675
81,0.0,5.0,73.675,210.0,283.675
82,4.0,5.0,77.675,215.0,292.675
83,0.0,0.0,77.675,215.0,292.675
84,0.0,0.0,77.675,215.0,292.675
85,0.0,10.0,77.675,225.0,302.675
86,0.0,0.0,77.675,225.0,302.675
87,0.0,0.0,77.675,225.0,302.675
88,0.0,10.0,77.675,235.0,312.675
89,0.0,0.0,77.675,235.0,312.675
90,0.0,0.0,77.675,235.0,312.675
91,0.0,0.0,77.675,235.0,312.675
92,0.0,5.0,77.675,240.0,317.675
93,0.0,0.0,77.675,240.0,317.675
94,0.0,0.0,77.675,240.0,317.675
95,0.0,5.0,77.675,245.0,322.675
96,0.0,5.0,77.675,250.0,327.675
97,0.0,0.0,77.675,250.0,327.675
98,4.0,0.0,81.675,250.0,331.675
99,2.0,0.0,83.675,250.0,333.675
100,0.0,0.0,83.675,250.0,333.675
101,0.0,5.0,83.675,255.0,338.675
102,0.0,0.0,83.675,255.0,338.675
103,2.0,5.0,85.675,260.0,345.675
104,0.0,0.0,85.675,260.0,345.675
105,0.0,0.0,85.675,260.0,345.675
106,4.0,0.0,89.675,260.0,349.675
107,0.0,0.0,89.675,260.0,349.675
108,0.0,0.0,89.675,260.0,349.675
109,4.0,0.0,93.675,260.0,353.675
110,0.0,0.0,93.675,260.0,353.675
111,4.0,5.0,97.675,265.0,362.675
112,0.0,15.0,97.675,280.0,377.675
113,0.0,0.0,97.675,280.0,377.675
114,0.0,5.0,97.675,285.0,382.675
115,0.0,0.0,97.675,285.0,382.675
116,4.0,0.0,101.675,285.0,386.675
117,0.0,0.0,101.675,285.0,386.675
118,7.0,0.0,108.675,285.0,393.675
119,0.0,5.0,108.675,290.0,398.675
120,2.0,5.0,110.675,295.0,405.675
121,0.0,0.0,110.675,295.0,405.675
122,0.0,0.0,110.675,295.0,405.675
123,0.0,0.0,110.675,295.0,405.675
124,6.0,5.0,116.675,300.0,416.675
125,0.0,0.0,116.675,300.0,416.675
126,4.0,0.0,120.675,300.0,420.675
127,3.0,0.0,123.675,300.0,423.675
128,0.0,5.0,123.675,305.0,428.675
129,0.0,0.0,123.675,305.0,428.675
130,0.0,0.0,123.675,305.0,428.675
131,0.0,0.0,123.675,305.0,428.675
132,0.0,0.0,123.675,305.0,428.675
133,0.0,0.0,123.675,305.0,428.675
134,0.0,0.0,123.675,305.0,428.675
135,0.0,0.0,123.675,305.0,428.675
136,0.0,5.0,123.675,310.0,433.675
137,0.0,0.0,123.675,310.0,433.675
138,0.0,5.0,123.675,315.0,438.675
139,0.0,0.0,123.675,315.0,438.675
140,0.0,5.0,123.675,320.0,443.675
141,0.0,0.0,123.675,320.0,443.675
142,0.0,0.0,123.675,320.0,443.675
143,0.0,0.0,123.675,320.0,443.675
144,0.0,0.0,123.675,320.0,443.675
145,0.0,0.0,123.675,320.0,443.675
146,0.0,0.0,123.675,320.0,443.675
147,0.0,0.0,123.675,320.0,443.675
148,0.0,0.0,123.675,320.0,443.675
149,0.0,0.0,123.675,320.0,443.675
150,0.0,0.0,123.675,320.0,443.675
151,0.0,0.0,123.675,320.0,443.675
152,0.0,0.0,123.675,320.0,443.675
153,0.0,0.0,123.675,320.0,443.675
154,0.0,0.0,123.675,320.0,443.675
155,0.0,0.0,123.675,320.0,443.675
156,0.0,0.0,123.675,320.0,443.675
157,0.0,0.0,123.675,320.0,443.675
158,0.0,0.0,123.675,320.0,443.675
159,0.0,0.0,123.675,320.0,443.675
160,0.0,0.0,123.675,320.0,443.675
161,0.0,0.0,123.675,320.0,443.675
162,0.0,0.0,123.675,320.0,443.675
163,0.0,0.0,123.675,320.0,443.675
164,0.0,0.0,123.675,320.0,443.675
165,0.0,0.0,123.675,320.0,443.675
166,0.0,0.0,123.675,320.0,443.675
167,0.0,5.0,123.675,325.0,448.675
168,0.0,0.0,123.675,325.0,448.675
169,0.0,0.0,123.675,325.0,448.675
170,0.0,5.0,123.675,330.0,453.675
171,0.0,0.0,123.675,330.0,453.675
172,0.0,0.0,123.675,330.0,453.675
173,0.0,0.0,123.675,330.0,453.675
174,0.0,0.0,123.675,330.0,453.675
175,0.0,0.0,123.675,330.0,453.675
176,0.0,0.0,123.675,330.0,453.675
177,0.0,0.0,123.675,330.0,453.675
178,0.0,0.0,123.675,330.0,453.675
179,0.0,0.0,123.675,330.0,453.675
180,0.0,0.0,123.675,330.0,453.675
181,0.0,0.0,123.675,330.0,453.675
182,0.0,0.0,123.675,330.0,453.675
183,0.0,0.0,123.675,330.0,453.675
184,0.0,0.0,123.675,330.0,453.675
185,0.0,0.0,123.675,330.0,453.675
186,0.0,0.0,123.675,330.0,453.675
187,0.0,0.0,123.675,330.0,453.675
188,0.0,0.0,123.675,330.0,453.675
189,0.0,0.0,123.675,330.0,453.675
