step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,5.0,0.0,5.0,5.0
6,0.0,10.0,0.0,15.0,15.0
7,0.0,0.0,0.0,15.0,15.0
8,0.0,5.0,0.0,20.0,20.0
9,0.0,15.0,0.0,35.0,35.0
10,0.0,0.0,0.0,35.0,35.0
11,0.0,0.0,0.0,35.0,35.0
12,0.0,0.0,0.0,35.0,35.0
13,0.0,0.0,0.0,35.0,35.0
14,0.0,0.0,0.0,35.0,35.0
15,4.0,0.0,4.0,35.0,39.0
16,2.0,0.0,6.0,35.0,41.0
17,0.0,5.0,6.0,40.0,46.0
18,0.0,0.0,6.0,40.0,46.0
19,4.0,10.0,10.0,50.0,60.0
20,2.0,0.0,12.0,50.0,62.0
21,0.0,5.0,12.0,55.0,67.0
22,0.0,5.0,12.0,60.0,72.0
23,4.0,0.0,16.0,60.0,76.0
24,0.0,5.0,16.0,65.0,81.0
25,0.0,0.0,16.0,65.0,81.0
26,0.0,0.0,16.0,65.0,81.0
27,0.0,5.0,16.0,70.0,86.0
28,0.0,0.0,16.0,70.0,86.0
29,4.0,0.0,20.0,70.0,90.0
30,4.0,0.0,24.0,70.0,94.0
31,2.3,0.0,26.3,70.0,96.3
32,0.0,0.0,26.3,70.0,96.3
33,0.0,5.0,26.3,75.0,101.3
34,0.0,10.0,26.3,85.0,111.3
35,0.0,0.0,26.3,85.0,111.3
36,0.0,0.0,26.3,85.0,111.3
37,0.0,0.0,26.3,85.0,111.3
38,0.0,5.0,26.3,90.0,116.3
39,0.0,0.0,26.3,90.0,116.3
40,0.0,5.0,26.3,95.0,121.3
41,0.0,0.0,26.3,95.0,121.3
42,0.0,5.0,26.3,100.0,126.3
43,0.0,0.0,26.3,100.0,126.3
44,0.0,0.0,26.3,100.0,126.3
45,0.0,0.0,26.3,100.0,126.3
46,0.0,0.0,26.3,100.0,126.3
47,0.0,0.0,26.3,100.0,126.3
48,0.0,0.0,26.3,100.0,126.3
