step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,0.0,0.0,0.0,0.0
2,4.0,5.0,4.0,5.0,9.0
3,0.0,5.0,4.0,10.0,14.0
4,0.0,0.0,4.0,10.0,14.0
5,0.0,0.0,4.0,10.0,14.0
6,0.0,0.0,4.0,10.0,14.0
7,4.0,0.0,8.0,10.0,18.0
8,4.0,0.0,12.0,10.0,22.0
9,0.0,10.0,12.0,20.0,32.0
10,7.0,5.0,19.0,25.0,44.0
11,2.0,0.0,21.0,25.0,46.0
12,0.0,5.0,21.0,30.0,51.0
13,0.0,0.0,21.0,30.0,51.0
14,0.0,5.0,21.0,35.0,56.0
15,4.0,5.0,25.0,40.0,65.0
16,2.3200000000000003,5.0,27.32,45.0,72.32
17,0.0,5.0,27.32,50.0,77.32
18,0.0,0.0,27.32,50.0,77.32
19,0.0,0.0,27.32,50.0,77.32
20,0.0,15.0,27.32,65.0,92.32
21,0.0,0.0,27.32,65.0,92.32
22,0.0,0.0,27.32,65.0,92.32
23,0.0,0.0,27.32,65.0,92.32
24,0.0,0.0,27.32,65.0,92.32
25,0.0,0.0,27.32,65.0,92.32
26,0.0,0.0,27.32,65.0,92.32
27,0.0,5.0,27.32,70.0,97.32
28,0.0,0.0,27.32,70.0,97.32
29,0.0,5.0,27.32,75.0,102.32
30,0.0,15.0,27.32,90.0,117.32
31,0.0,15.0,27.32,105.0,132.32
32,0.0,5.0,27.32,110.0,137.32
33,0.0,10.0,27.32,120.0,147.32
34,0.0,10.0,27.32,130.0,157.32
35,0.0,0.0,27.32,130.0,157.32
36,0.0,0.0,27.32,130.0,157.32
37,0.0,0.0,27.32,130.0,157.32
38,0.0,0.0,27.32,130.0,157.32
39,0.0,0.0,27.32,130.0,157.32
40,0.0,0.0,27.32,130.0,157.32
41,0.0,0.0,27.32,130.0,157.32
42,0.0,5.0,27.32,135.0,162.32
43,0.0,10.0,27.32,145.0,172.32
44,0.0,0.0,27.32,145.0,172.32
45,0.0,5.0,27.32,150.0,177.32
46,0.0,0.0,27.32,150.0,177.32
47,0.0,5.0,27.32,155.0,182.32
48,0.0,5.0,27.32,160.0,187.32
49,0.0,0.0,27.32,160.0,187.32
50,0.0,5.0,27.32,165.0,192.32
51,0.0,0.0,27.32,165.0,192.32
52,0.0,5.0,27.32,170.0,197.32
53,0.0,5.0,27.32,175.0,202.32
54,0.0,0.0,27.32,175.0,202.32
55,0.0,0.0,27.32,175.0,202.32
