step,ren_step,non_step,cum_ren,cum_non,cum_total
1,4.0,0.0,4.0,0.0,4.0
2,0.0,5.0,4.0,5.0,9.0
3,0.0,0.0,4.0,5.0,9.0
4,4.0,0.0,8.0,5.0,13.0
5,4.0,0.0,12.0,5.0,17.0
6,0.0,0.0,12.0,5.0,17.0
7,0.0,0.0,12.0,5.0,17.0
8,0.0,10.0,12.0,15.0,27.0
9,0.0,5.0,12.0,20.0,32.0
10,0.0,0.0,12.0,20.0,32.0
11,4.0,5.0,16.0,25.0,41.0
12,0.0,15.0,16.0,40.0,56.0
13,3.0,0.0,19.0,40.0,59.0
14,0.0,0.0,19.0,40.0,59.0
15,0.0,5.0,19.0,45.0,64.0
16,0.0,5.0,19.0,50.0,69.0
17,8.0,0.0,27.0,50.0,77.0
18,3.6550000000000002,5.0,30.655,55.0,85.655
19,0.0,5.0,30.655,60.0,90.655
20,0.0,0.0,30.655,60.0,90.655
21,0.0,5.0,30.655,65.0,95.655
22,0.0,0.0,30.655,65.0,95.655
23,1.3800000000000001,5.0,32.035000000000004,70.0,102.035
24,0.0,5.0,32.035000000000004,75.0,107.035
25,0.0,0.0,32.035000000000004,75.0,107.035
26,1.4600000000000002,5.0,33.495000000000005,80.0,113.495
27,0.0,5.0,33.495000000000005,85.0,118.495
28,4.0,5.0,37.495000000000005,90.0,127.495
29,0.0,0.0,37.495000000000005,90.0,127.495
30,0.0,0.0,37.495000000000005,90.0,127.495
31,2.325,0.0,39.82000000000001,90.0,129.82
32,0.0,0.0,39.82000000000001,90.0,129.82
33,0.0,0.0,39.82000000000001,90.0,129.82
34,0.0,0.0,39.82000000000001,90.0,129.82
35,1.6400000000000003,5.0,41.46000000000001,95.0,136.46
36,0.0,0.0,41.46000000000001,95.0,136.46
37,0.0,0.0,41.46000000000001,95.0,136.46
38,0.0,0.0,41.46000000000001,95.0,136.46
39,0.0,0.0,41.46000000000001,95.0,136.46
40,1.7200000000000004,5.0,43.18000000000001,100.0,143.18
41,0.0,0.0,43.18000000000001,100.0,143.18
42,0.0,5.0,43.18000000000001,105.0,148.18
43,0.0,5.0,43.18000000000001,110.0,153.18
44,5.800000000000001,0.0,48.980000000000004,110.0,158.98000000000002
45,2.0,0.0,50.980000000000004,110.0,160.98000000000002
46,0.0,10.0,50.980000000000004,120.0,170.98000000000002
47,0.0,0.0,50.980000000000004,120.0,170.98000000000002
48,1.8800000000000003,0.0,52.86000000000001,120.0,172.86
49,0.0,5.0,52.86000000000001,125.0,177.86
50,0.0,0.0,52.86000000000001,125.0,177.86
51,1.9600000000000004,5.0,54.82000000000001,130.0,184.82
52,4.0,10.0,58.82000000000001,140.0,198.82
53,2.0,10.0,60.82000000000001,150.0,210.82
54,0.0,10.0,60.82000000000001,160.0,220.82
