step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,10.0,0.0,10.0,10.0
2,0.0,10.0,0.0,20.0,20.0
3,0.0,0.0,0.0,20.0,20.0
4,0.0,5.0,0.0,25.0,25.0
5,0.0,0.0,0.0,25.0,25.0
6,0.0,0.0,0.0,25.0,25.0
7,0.0,0.0,0.0,25.0,25.0
8,0.0,5.0,0.0,30.0,30.0
9,0.0,5.0,0.0,35.0,35.0
10,0.0,5.0,0.0,40.0,40.0
11,0.0,5.0,0.0,45.0,45.0
12,0.0,10.0,0.0,55.0,55.0
13,0.0,0.0,0.0,55.0,55.0
14,4.0,5.0,4.0,60.0,64.0
15,0.0,0.0,4.0,60.0,64.0
16,0.0,0.0,4.0,60.0,64.0
17,0.0,10.0,4.0,70.0,74.0
18,0.0,0.0,4.0,70.0,74.0
19,0.0,15.0,4.0,85.0,89.0
20,0.0,0.0,4.0,85.0,89.0
21,0.0,0.0,4.0,85.0,89.0
22,0.0,0.0,4.0,85.0,89.0
23,0.0,0.0,4.0,85.0,89.0
24,0.0,5.0,4.0,90.0,94.0
25,0.0,0.0,4.0,90.0,94.0
26,0.0,0.0,4.0,90.0,94.0
27,0.0,5.0,4.0,95.0,99.0
28,0.0,0.0,4.0,95.0,99.0
29,0.0,0.0,4.0,95.0,99.0
30,0.0,0.0,4.0,95.0,99.0
31,4.0,0.0,8.0,95.0,103.0
32,0.0,0.0,8.0,95.0,103.0
33,2.6400000000000006,5.0,10.64,100.0,110.64
34,0.0,5.0,10.64,105.0,115.64
35,0.0,5.0,10.64,110.0,120.64
36,0.0,10.0,10.64,120.0,130.64
37,1.7200000000000004,0.0,12.360000000000001,120.0,132.36
38,0.0,0.0,12.360000000000001,120.0,132.36
39,0.0,5.0,12.360000000000001,125.0,137.36
40,0.0,0.0,12.360000000000001,125.0,137.36
41,0.0,5.0,12.360000000000001,130.0,142.36
42,2.7150000000000007,0.0,15.075000000000003,130.0,145.075
43,0.0,0.0,15.075000000000003,130.0,145.075
44,0.0,0.0,15.075000000000003,130.0,145.075
45,0.0,0.0,15.075000000000003,130.0,145.075
46,1.9000000000000004,0.0,16.975,130.0,146.975
47,0.0,0.0,16.975,130.0,146.975
48,0.0,0.0,16.975,130.0,146.975
49,0.0,0.0,16.975,130.0,146.975
50,0.0,5.0,16.975,135.0,151.975
51,0.0,0.0,16.975,135.0,151.975
52,8.0,5.0,24.975,140.0,164.975
53,6.920000000000001,5.0,31.895000000000003,145.0,176.895
54,0.0,0.0,31.895000000000003,145.0,176.895
55,0.0,5.0,31.895000000000003,150.0,181.895
56,0.0,0.0,31.895000000000003,150.0,181.895
57,4.0,0.0,35.895,150.0,185.895
58,2.0,0.0,37.895,150.0,187.895
59,0.0,0.0,37.895,150.0,187.895
60,0.0,5.0,37.895,155.0,192.895
61,0.0,0.0,37.895,155.0,192.895
62,0.0,0.0,37.895,155.0,192.895
63,3.0,0.0,40.895,155.0,195.895
64,0.0,0.0,40.895,155.0,195.895
65,0.0,0.0,40.895,155.0,195.895
66,0.0,0.0,40.895,155.0,195.895
67,0.0,5.0,40.895,160.0,200.895
68,3.0,0.0,43.895,160.0,203.895
69,0.0,5.0,43.895,165.0,208.895
70,0.0,0.0,43.895,165.0,208.895
71,4.0,0.0,47.895,165.0,212.895
72,0.0,0.0,47.895,165.0,212.895
73,0.0,5.0,47.895,170.0,217.895
74,0.0,0.0,47.895,170.0,217.895
75,4.0,0.0,51.895,170.0,221.895
76,0.0,0.0,51.895,170.0,221.895
77,0.0,0.0,51.895,170.0,221.895
78,3.0,5.0,54.895,175.0,229.895
79,8.0,0.0,62.895,175.0,237.895
80,4.9,10.0,67.795,185.0,252.79500000000002
81,0.0,0.0,67.795,185.0,252.79500000000002
82,4.0,0.0,71.795,185.0,256.795
83,2.0,0.0,73.795,185.0,258.795
84,0.0,0.0,73.795,185.0,258.795
85,0.0,0.0,73.795,185.0,258.795
86,0.0,0.0,73.795,185.0,258.795
87,4.0,0.0,77.795,185.0,262.795
88,2.0,0.0,79.795,185.0,264.795
89,4.0,5.0,83.795,190.0,273.795
90,1.0,0.0,84.795,190.0,274.795
91,0.0,0.0,84.795,190.0,274.795
92,0.0,0.0,84.795,190.0,274.795
93,0.0,0.0,84.795,190.0,274.795
94,0.0,0.0,84.795,190.0,274.795
95,0.0,0.0,84.795,190.0,274.795
96,4.0,0.0,88.795,190.0,278.795
97,0.0,5.0,88.795,195.0,283.795
98,4.0,0.0,92.795,195.0,287.795
99,0.0,0.0,92.795,195.0,287.795
100,0.0,0.0,92.795,195.0,287.795
101,0.0,0.0,92.795,195.0,287.795
102,0.0,5.0,92.795,200.0,292.795
103,0.0,0.0,92.795,200.0,292.795
104,0.0,0.0,92.795,200.0,292.795
105,0.0,0.0,92.795,200.0,292.795
106,0.0,0.0,92.795,200.0,292.795
107,0.0,0.0,92.795,200.0,292.795
108,0.0,0.0,92.795,200.0,292.795
109,0.0,0.0,92.795,200.0,292.795
110,4.0,0.0,96.795,200.0,296.795
111,2.0,0.0,98.795,200.0,298.795
112,0.0,10.0,98.795,210.0,308.795
113,0.0,0.0,98.795,210.0,308.795
114,0.0,0.0,98.795,210.0,308.795
115,0.0,10.0,98.795,220.0,318.795
116,0.0,0.0,98.795,220.0,318.795
117,4.0,5.0,102.795,225.0,327.795
118,2.0,0.0,104.795,225.0,329.795
119,0.0,5.0,104.795,230.0,334.795
120,0.0,5.0,104.795,235.0,339.795
121,0.0,0.0,104.795,235.0,339.795
122,0.0,0.0,104.795,235.0,339.795
123,0.0,0.0,104.795,235.0,339.795
124,0.0,0.0,104.795,235.0,339.795
125,0.0,0.0,104.795,235.0,339.795
126,0.0,0.0,104.795,235.0,339.795
127,0.0,0.0,104.795,235.0,339.795
128,0.0,0.0,104.795,235.0,339.795
129,0.0,0.0,104.795,235.0,339.795
130,0.0,0.0,104.795,235.0,339.795
131,0.0,0.0,104.795,235.0,339.795
132,0.0,0.0,104.795,235.0,339.795
133,4.0,0.0,108.795,235.0,343.795
134,0.0,0.0,108.795,235.0,343.795
135,0.0,0.0,108.795,235.0,343.795
136,0.0,0.0,108.795,235.0,343.795
137,0.0,0.0,108.795,235.0,343.795
138,0.0,0.0,108.795,235.0,343.795
139,0.0,0.0,108.795,235.0,343.795
140,0.0,0.0,108.795,235.0,343.795
141,0.0,0.0,108.795,235.0,343.795
142,0.0,0.0,108.795,235.0,343.795
143,0.0,0.0,108.795,235.0,343.795
144,0.0,0.0,108.795,235.0,343.795
145,0.0,0.0,108.795,235.0,343.795
146,0.0,0.0,108.795,235.0,343.795
147,0.0,0.0,108.795,235.0,343.795
148,0.0,0.0,108.795,235.0,343.795
149,0.0,0.0,108.795,235.0,343.795
150,0.0,0.0,108.795,235.0,343.795
151,0.0,0.0,108.795,235.0,343.795
152,0.0,0.0,108.795,235.0,343.795
153,0.0,0.0,108.795,235.0,343.795
154,0.0,0.0,108.795,235.0,343.795
155,0.0,0.0,108.795,235.0,343.795
156,0.0,0.0,108.795,235.0,343.795
157,0.0,0.0,108.795,235.0,343.795
158,0.0,0.0,108.795,235.0,343.795
159,0.0,0.0,108.795,235.0,343.795
160,0.0,0.0,108.795,235.0,343.795
161,0.0,0.0,108.795,235.0,343.795
162,0.0,0.0,108.795,235.0,343.795
163,0.0,0.0,108.795,235.0,343.795
