step,ren_step,non_step,cum_ren,cum_non,cum_total
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,4.0,0.0,4.0,0.0,4.0
4,0.0,5.0,4.0,5.0,9.0
5,4.0,0.0,8.0,5.0,13.0
6,0.0,0.0,8.0,5.0,13.0
7,0.0,5.0,8.0,10.0,18.0
8,0.0,10.0,8.0,20.0,28.0
9,4.0,5.0,12.0,25.0,37.0
10,4.0,0.0,16.0,25.0,41.0
11,3.0,0.0,19.0,25.0,44.0
12,4.0,5.0,23.0,30.0,53.0
13,0.0,0.0,23.0,30.0,53.0
14,0.0,15.0,23.0,45.0,68.0
15,0.0,5.0,23.0,50.0,73.0
16,0.0,0.0,23.0,50.0,73.0
17,0.0,5.0,23.0,55.0,78.0
18,0.0,0.0,23.0,55.0,78.0
19,4.0,0.0,27.0,55.0,82.0
20,0.0,10.0,27.0,65.0,92.0
21,0.0,0.0,27.0,65.0,92.0
22,3.0,0.0,30.0,65.0,95.0
23,0.0,0.0,30.0,65.0,95.0
24,0.0,0.0,30.0,65.0,95.0
25,0.0,0.0,30.0,65.0,95.0
26,0.0,5.0,30.0,70.0,100.0
27,0.0,5.0,30.0,75.0,105.0
28,0.0,0.0,30.0,75.0,105.0
29,0.0,0.0,30.0,75.0,105.0
30,0.0,0.0,30.0,75.0,105.0
31,0.0,0.0,30.0,75.0,105.0
32,0.0,5.0,30.0,80.0,110.0
33,0.0,0.0,30.0,80.0,110.0
34,0.0,0.0,30.0,80.0,110.0
35,0.0,5.0,30.0,85.0,115.0
36,0.0,0.0,30.0,85.0,115.0
37,0.0,0.0,30.0,85.0,115.0
38,0.0,5.0,30.0,90.0,120.0
39,0.0,10.0,30.0,100.0,130.0
40,0.0,0.0,30.0,100.0,130.0
41,0.0,0.0,30.0,100.0,130.0
42,0.0,5.0,30.0,105.0,135.0
43,0.0,0.0,30.0,105.0,135.0
44,4.0,0.0,34.0,105.0,139.0
45,0.0,0.0,34.0,105.0,139.0
46,2.0,0.0,36.0,105.0,141.0
47,0.0,0.0,36.0,105.0,141.0
48,4.0,0.0,40.0,105.0,145.0
49,6.0,0.0,46.0,105.0,151.0
50,6.0,10.0,52.0,115.0,167.0
51,6.0,0.0,58.0,115.0,173.0
52,0.0,5.0,58.0,120.0,178.0
53,4.0,0.0,62.0,120.0,182.0
54,3.0,0.0,65.0,120.0,185.0
55,0.0,0.0,65.0,120.0,185.0
56,4.0,10.0,69.0,130.0,199.0
57,0.0,5.0,69.0,135.0,204.0
58,0.0,0.0,69.0,135.0,204.0
59,6.0,5.0,75.0,140.0,215.0
60,0.0,0.0,75.0,140.0,215.0
61,4.0,0.0,79.0,140.0,219.0
62,2.0,10.0,81.0,150.0,231.0
63,7.0,0.0,88.0,150.0,238.0
64,3.0,0.0,91.0,150.0,241.0
65,4.0,0.0,95.0,150.0,245.0
66,0.0,0.0,95.0,150.0,245.0
67,2.0,0.0,97.0,150.0,247.0
68,0.0,0.0,97.0,150.0,247.0
69,0.0,0.0,97.0,150.0,247.0
70,0.0,0.0,97.0,150.0,247.0
71,4.0,0.0,101.0,150.0,251.0
72,0.0,0.0,101.0,150.0,251.0
73,0.0,0.0,101.0,150.0,251.0
