Step,Ideology_adaptive_mean,Ideology_adaptive_direct_mean,AvgEnergy_mean,CommunityPool_mean,TotalScar_mean,Renewables_mean,NonRenewables_mean,InfrastructureSites_mean,AgentsAlive_mean,GiniEnergy_mean,AvgAdaptiveReward_mean,MinedRenewable_mean,MinedNonrenewable_mean,AvgAdaptiveEpsilon_mean,AvgAdaptiveEpsilonGlobal_mean,Ideology_adaptive_std,Ideology_adaptive_direct_std,AvgEnergy_std,CommunityPool_std,TotalScar_std,Renewables_std,NonRenewables_std,InfrastructureSites_std,AgentsAlive_std,GiniEnergy_std,AvgAdaptiveReward_std,MinedRenewable_std,MinedNonrenewable_std,AvgAdaptiveEpsilon_std,AvgAdaptiveEpsilonGlobal_std
23,15.0,0.0,10.057866666666644,0.0,4.504999999999999,100.0,100.0,0.0,15.0,0.11871351732779381,1.0219999999999998,0.0,3.0,0.9,0.1596633975983764,0.0,0.0,1.1877144271641356,0.0,2.2964525783138745,0.0,0.0,0.0,0.0,0.027431803951343096,0.01893458524812516,0.0,2.581988897471611,0.0,0.0
24,15.0,0.0,9.677866666666644,0.0,5.015999999999998,100.0,100.0,0.0,15.0,0.1258504398714036,1.0219999999999998,0.0,3.0,0.9,0.14809881306835665,0.0,0.0,1.240276703495866,0.0,2.3151395446303247,0.0,0.0,0.0,0.0,0.029372148819652513,0.025637549621937036,0.0,3.496029493900505,0.0,0.0
25,15.0,0.0,9.237866666666644,0.0,4.8519999999999985,100.0,100.0,0.0,15.0,0.13592490541937172,1.0113333333333334,0.1,1.5,0.9,0.13737186332103382,0.0,0.0,1.2697478625963132,0.0,2.301312668891387,0.0,0.0,0.0,0.0,0.03198808481382928,0.017511900715418208,0.31622776601683794,2.41522945769824,0.0,0.0
26,15.0,0.0,8.831199999999976,0.0,5.058999999999999,100.0,100.0,0.0,15.0,0.14804804574689498,1.0216666666666667,1.2,2.5,0.9,0.12742187760534363,0.0,0.0,1.308185391022218,0.0,2.432175295217568,0.0,0.0,0.0,0.0,0.027972875001987176,0.03528543224044537,1.9321835661585918,4.85912657903775,0.0,0.0
27,15.0,0.0,8.371199999999977,0.0,4.772999999999998,100.0,100.0,0.0,15.0,0.15654578327155294,1.008,0.2,1.0,0.9,0.11819257961528377,0.0,0.0,1.3470013812122303,0.0,2.5405425929644756,0.0,0.0,0.0,0.0,0.03018256936599761,0.015250986610465265,0.6324555320336759,2.1081851067789197,0.0,0.0
28,15.0,0.0,7.9778666666666425,0.0,4.746999999999998,100.0,100.0,0.0,15.0,0.1719873087855715,1.0223333333333333,0.5,3.0,0.9,0.1096317691957269,0.0,0.0,1.3333943986016383,0.0,2.3067536110781792,0.0,0.0,0.0,0.0,0.03580560849071719,0.04621607865154642,1.2692955176439848,6.324555320336759,0.0,0.0
29,15.0,0.0,7.564533333333307,0.0,4.8569999999999975,100.0,100.0,0.0,15.0,0.18640832939096025,1.0183333333333333,0.4,2.5,0.9,0.10169102710260933,0.0,0.0,1.3926122110517238,0.0,2.5417056827606483,0.0,0.0,0.0,0.0,0.03792886993030736,0.03116067480528917,1.2649110640673518,4.249182927993988,0.0,0.0
30,15.0,0.0,7.131199999999973,0.0,4.676999999999998,100.0,100.0,0.0,15.0,0.20083469442597696,1.0126666666666666,0.3,1.5,0.9,0.09432544114764395,0.0,0.0,1.4322186466639275,0.0,2.612423523601535,0.0,0.0,0.0,0.0,0.04232993111436229,0.0170547412038666,0.6749485577105528,2.41522945769824,0.0,0.0
31,15.0,0.0,6.704533333333306,0.0,4.482999999999998,100.0,100.0,0.0,15.0,0.21865929044227977,1.0133333333333332,0.3,1.5,0.9,0.08749335217865398,0.0,0.0,1.410259718659678,0.0,2.5172209102721013,0.0,0.0,0.0,0.0,0.03844569804563274,0.024695678634325424,0.9486832980505138,3.3747427885527648,0.0,0.0
32,15.0,0.0,6.377866666666639,0.0,4.361999999999997,100.0,100.0,0.0,15.0,0.24846357176543968,1.0006666666666666,0.0,1.0,0.8998800000000001,0.08115611845881285,0.0,0.0,1.224492791947287,0.0,2.613506796964143,0.0,0.0,0.0,0.0,0.04798385578717446,0.028144249242644557,0.0,2.1081851067789197,0.0003794733192201931,0.0
33,15.0,0.0,5.97786666666664,0.0,4.313999999999997,100.0,100.0,0.0,15.0,0.2679501943200485,1.0183333333333333,0.0,2.5,0.8998800000000001,0.07527789711213909,0.0,0.0,1.2985822772794162,0.0,2.5239351990272816,0.0,0.0,0.0,0.0,0.05397402677596563,0.02592724864350684,0.0,3.5355339059327373,0.0003794733192201931,0.0
34,15.0,0.0,5.6978666666666395,0.0,4.263999999999998,100.0,100.0,0.0,15.0,0.30537848583658167,1.0093333333333334,0.2,2.0,0.89976,0.06982544139911905,0.0,0.0,1.1771070962530892,0.0,2.4052359551611553,0.0,0.0,0.0,0.0,0.06671600026105297,0.03623653432315354,0.6324555320336759,3.496029493900505,0.0005059644256269322,0.0
35,15.0,0.0,5.27786666666664,0.0,4.209999999999996,100.0,100.0,0.0,15.0,0.33369639098268944,1.0146666666666666,0.0,2.0,0.89976,0.06476791267586544,0.0,0.0,1.165785860098215,0.0,2.3341617577004183,0.0,0.0,0.0,0.0,0.07775254367750947,0.018934585248125135,0.0,2.581988897471611,0.0005059644256269322,0.0
36,15.0,0.0,5.791199999999973,0.0,4.076999999999996,100.0,100.0,0.0,15.0,0.37807369415468167,0.968,0.0,2.0,0.89892,0.060076705973268016,0.0,0.0,1.0305884115756752,0.0,2.2780988662576607,0.0,0.0,0.0,0.0,0.09539088530761465,0.047692430229907115,0.0,2.581988897471611,0.001193314711214088,0.0
37,15.0,0.0,5.311199999999973,0.0,4.018999999999997,100.0,100.0,0.0,15.0,0.4133500721448836,1.0036666666666667,0.0,0.5,0.89892,0.0557252882096261,0.0,0.0,1.0036156265851606,0.0,2.24585766839011,0.0,0.0,0.0,0.0,0.10689810112573449,0.011595018087283977,0.0,1.5811388300841895,0.001193314711214088,0.0
38,15.0,0.0,6.051199999999975,0.0,3.750999999999997,100.0,100.0,0.0,15.0,0.44086549140101583,0.9473333333333332,0.0,1.0,0.8978400000000001,0.05168904812170701,0.0,0.0,1.4095921413438277,0.0,2.2729933763407413,0.0,0.0,0.0,0.0,0.09054124336333579,0.05472264523243159,0.0,2.1081851067789197,0.002023857702507709,0.0
39,15.0,0.0,5.557866666666641,0.0,3.419999999999997,100.0,100.0,0.0,15.0,0.4843662257658693,1.0036666666666667,0.4,0.5,0.8978400000000001,0.05,0.0,0.0,1.3936536509353525,0.0,1.8748807369477596,0.0,0.0,0.0,0.0,0.09518424513543806,0.011595018087283977,1.2649110640673518,1.5811388300841895,0.002023857702507709,0.0
40,15.0,0.0,10.624533333333314,0.0,3.297999999999997,100.0,100.0,0.0,15.0,0.354786194654291,0.7449999999999999,0.0,2.5,0.8929199999999999,0.05,0.0,0.0,2.612656541237132,0.0,1.740400975509825,0.0,0.0,0.0,0.0,0.07351755694269185,0.1562069693834133,0.0,3.5355339059327378,0.00381365965969697,0.0
41,15.0,0.0,10.124533333333314,0.0,3.100999999999997,100.0,100.0,0.0,15.0,0.37371109498676436,1.0,0.0,0.0,0.8929199999999999,0.05,0.0,0.0,2.612656541237132,0.0,1.6509892657299596,0.0,0.0,0.0,0.0,0.07854921885190064,6.409875621278546e-17,0.0,0.0,0.00381365965969697,0.0
42,15.0,0.0,10.37119999999998,0.0,3.056999999999997,100.0,100.0,0.0,15.0,0.3683431817634489,0.9813333333333333,0.0,2.0,0.89232,0.05,0.0,0.0,3.0756652003577054,0.0,1.6291650895133016,0.0,0.0,0.0,0.0,0.09786722874473719,0.05366103029983219,0.0,3.496029493900505,0.004240754649823565,0.0
43,15.0,0.0,9.957866666666648,0.0,3.160999999999997,100.0,100.0,0.0,15.0,0.39254268048807256,1.0183333333333333,0.4,2.5,0.89232,0.05,0.0,0.0,3.045107613091644,0.0,1.7986133547819538,0.0,0.0,0.0,0.0,0.10533273747351278,0.025927248643506644,1.2649110640673518,3.5355339059327378,0.004240754649823565,0.0
44,15.0,0.0,9.631199999999982,0.0,3.188999999999997,100.0,100.0,0.0,15.0,0.41164044251010345,1.0056666666666667,1.0,1.5,0.8922000000000001,0.05,0.0,0.0,3.124804923096393,0.0,1.9106685857166437,0.0,0.0,0.0,0.0,0.11467049693690716,0.019566284935389203,2.160246899469287,2.41522945769824,0.004280186911806573,0.0
45,15.0,0.0,9.272133333333315,0.0,2.9889999999999968,100.0,100.0,0.0,15.0,0.43906666834262786,0.9969999999999999,0.9,0.0,0.89208,0.05,0.0,0.0,2.87868669987712,0.0,1.8135505384619284,0.0,0.0,0.0,0.0,0.12697586936975339,0.014778195482818423,2.0248456731316584,0.0,0.004087052727822377,0.0
46,15.0,0.0,14.398799999999989,0.0,3.0859999999999967,100.0,100.0,0.0,15.0,0.22649664978739362,0.7273333333333333,0.4,1.0,0.88704,0.05,0.0,0.0,2.293258952282154,0.0,1.8235021250330352,0.0,0.0,0.0,0.0,0.10385529876565606,0.11204937183400475,1.2649110640673518,2.1081851067789192,0.0032887687665750973,0.0
47,15.0,0.0,13.93879999999999,0.0,2.753999999999997,100.0,100.0,0.0,15.0,0.23638432416702432,1.0076666666666667,0.1,1.0,0.88704,0.05,0.0,0.0,2.3121968774306434,0.0,1.6994260469019784,0.0,0.0,0.0,0.0,0.11011654551880401,0.023096683530833086,0.31622776601683794,3.1622776601683795,0.0032887687665750973,0.0
48,15.0,0.0,14.37879999999999,0.0,3.012999999999997,100.0,100.0,0.0,15.0,0.2150865927570762,0.9856666666666666,0.0,3.5,0.8863199999999999,0.05,0.0,0.0,1.7566496112742978,0.0,1.6173438444286075,0.0,0.0,0.0,0.0,0.0936334605252184,0.07048421590227148,0.0,3.3747427885527643,0.002950254226333721,0.0
49,15.0,0.0,13.858799999999992,0.0,2.897999999999997,100.0,100.0,0.0,15.0,0.22354996495873863,1.004,1.3,0.5,0.8863199999999999,0.05,0.0,0.0,1.7241885778104056,0.0,1.530633855629751,0.0,0.0,0.0,0.0,0.1018360221248285,0.011525602204346608,2.9832867780352594,1.5811388300841895,0.002950254226333721,0.0
50,15.0,0.0,13.452133333333325,0.0,2.9379999999999966,100.0,100.0,0.0,15.0,0.23518206043874207,1.0173333333333332,0.9,1.5,0.8863199999999999,0.05,0.0,0.0,1.6523230425788573,0.0,1.5245312576512011,0.0,0.0,0.0,0.0,0.1086146259450985,0.02329626685507177,2.0248456731316584,2.41522945769824,0.002950254226333721,0.0
51,15.0,0.0,12.978799999999989,0.0,2.8269999999999973,100.0,100.0,0.0,15.0,0.24676465466244918,1.0073333333333332,0.4,1.0,0.8863199999999999,0.05,0.0,0.0,1.6772495356798536,0.0,1.4612631522077044,0.0,0.0,0.0,0.0,0.11415623396495794,0.015460024116378744,1.2649110640673518,2.1081851067789192,0.002950254226333721,0.0
52,15.0,0.0,14.745466666666658,0.0,2.647999999999997,100.0,100.0,0.0,15.0,0.15868727949370967,0.8896666666666666,0.9,0.0,0.8842800000000001,0.05,0.0,0.0,1.2044979815899775,0.0,1.390338088379944,0.0,0.0,0.0,0.0,0.07829932854899502,0.08920014947670588,2.0248456731316584,0.0,0.002294340863951981,0.0
53,15.0,0.0,14.314133333333325,0.0,2.769999999999997,100.0,100.0,0.0,15.0,0.16637793048745125,1.0126333333333333,0.22999999999999998,1.5,0.8842800000000001,0.05,0.0,0.0,1.2553201273867283,0.0,1.6677929527772117,0.0,0.0,0.0,0.0,0.08202123376269911,0.01733365384319054,0.7273238618387271,2.41522945769824,0.002294340863951981,0.0
54,15.0,0.0,14.120799999999992,0.0,2.593999999999997,100.0,100.0,0.0,15.0,0.16103337021066105,0.994,0.0,1.0,0.88404,0.05,0.0,0.0,1.2819639562738088,0.0,1.60173655761489,0.0,0.0,0.0,0.0,0.07836449000116118,0.0353046704146409,0.0,2.1081851067789192,0.0021203773249117543,0.0
55,15.0,0.0,13.660799999999991,0.0,2.5029999999999974,100.0,100.0,0.0,15.0,0.166954651355034,1.0073333333333332,0.0,1.0,0.88404,0.05,0.0,0.0,1.2747509967455273,0.0,1.5496813292487652,0.0,0.0,0.0,0.0,0.07940666732735613,0.015460024116378781,0.0,2.1081851067789197,0.0021203773249117543,0.0
56,15.0,0.0,13.167466666666655,0.0,2.3479999999999976,100.0,100.0,0.0,15.0,0.1748196477211899,1.0043333333333333,0.6,0.5,0.88404,0.05,0.0,0.0,1.2932266011706217,0.0,1.4865979057342071,0.0,0.0,0.0,0.0,0.08269895487656895,0.01155234998272894,1.3498971154211057,1.5811388300841895,0.0021203773249117543,0.0
57,15.0,0.0,12.707466666666656,0.0,2.2719999999999976,100.0,100.0,0.0,15.0,0.18266599998774138,1.0079999999999998,0.2,1.0,0.88404,0.05,0.0,0.0,1.323097182026487,0.0,1.5584522236287295,0.0,0.0,0.0,0.0,0.08670555211190122,0.015169820591889805,0.42163702135578396,2.1081851067789192,0.0021203773249117543,0.0
58,15.0,0.0,13.64079999999999,0.0,2.5649999999999977,100.0,100.0,0.0,15.0,0.1401738004398125,0.9516666666666665,0.0,2.5,0.8828400000000001,0.05,0.0,0.0,1.513070128848899,0.0,1.6502609221305304,0.0,0.0,0.0,0.0,0.04928779251796508,0.07586944602082035,0.0,2.6352313834736494,0.0012712198865656717,0.0
59,15.0,0.0,13.180799999999987,0.0,2.418999999999998,100.0,100.0,0.0,15.0,0.1475496840558072,1.016,1.6,2.0,0.8828400000000001,0.05,0.0,0.0,1.6001007622592798,0.0,1.4862364848465017,0.0,0.0,0.0,0.0,0.05267058241533034,0.024983945462320377,3.4058772731852804,3.496029493900505,0.0012712198865656717,0.0
60,15.0,0.0,12.983733333333323,0.0,2.426999999999998,100.0,100.0,0.0,15.0,0.14140470777575775,0.9937733333333332,0.544,0.5,0.8826,0.05,0.0,0.0,1.9232591474234992,0.0,1.5142511900826312,0.0,0.0,0.0,0.0,0.054573578087484115,0.02128142295437421,1.7202790471315985,1.5811388300841895,0.0011661903789690657,0.0
61,15.0,0.0,12.470399999999987,0.0,2.294999999999998,100.0,100.0,0.0,15.0,0.1480669616446873,0.9999999999999998,0.4,0.0,0.8826,0.05,0.0,0.0,1.9220550524611346,0.0,1.4566495040941645,0.0,0.0,0.0,0.0,0.057704162957268317,0.0,1.2649110640673518,0.0,0.0011661903789690657,0.0
62,15.0,0.0,12.050399999999986,0.0,2.5429999999999984,100.0,100.0,0.0,15.0,0.15618299736801292,1.0153333333333332,0.2,2.0,0.8826,0.05,0.0,0.0,1.9514103339272448,0.0,1.6787498655580313,0.0,0.0,0.0,0.0,0.06329779617608543,0.025298221281347007,0.6324555320336759,3.496029493900505,0.0011661903789690657,0.0
63,15.0,0.0,11.751599999999986,0.0,2.7939999999999983,100.0,100.0,0.0,15.0,0.15796415341316322,1.0053333333333332,0.6,1.0,0.8824799999999999,0.05,0.0,0.0,1.9483195468890977,0.0,2.0596072980600497,0.0,0.0,0.0,0.0,0.05291136625144954,0.03583914681524161,1.3498971154211057,2.1081851067789192,0.0008390470785361115,0.0
64,15.0,0.0,11.691599999999985,0.0,2.533999999999998,100.0,100.0,0.0,15.0,0.15029003443325778,0.9873333333333333,0.0,1.0,0.8821199999999999,0.05,0.0,0.0,2.2360711621000187,0.0,1.7330012502399794,0.0,0.0,0.0,0.0,0.027558457077007464,0.045237371199998086,0.0,2.1081851067789197,0.00037947331922021115,0.0
65,15.0,0.0,11.251599999999986,0.0,2.489999999999998,100.0,100.0,0.0,15.0,0.16052050604591298,1.0136666666666667,0.8,1.5,0.8821199999999999,0.05,0.0,0.0,2.279397455577646,0.0,1.7757752610557944,0.0,0.0,0.0,0.0,0.0285523685547127,0.017878188656282556,1.6865480854231358,2.4152294576982394,0.00037947331922021115,0.0
66,15.0,0.0,10.89826666666665,0.0,2.447999999999998,100.0,100.0,0.0,15.0,0.16458105736930534,0.9986666666666665,0.7,0.5,0.882,0.05,0.0,0.0,2.426839721139158,0.0,1.7510872812817366,0.0,0.0,0.0,0.0,0.03234197366616035,0.025733678754158395,1.888562063228706,1.5811388300841898,0.0,0.0
67,15.0,0.0,10.516833333333317,0.0,2.630999999999998,100.0,100.0,0.0,15.0,0.1727941629508179,1.0221183333333332,0.07850000000000001,3.0,0.882,0.05,0.0,0.0,2.3829966674932574,0.0,1.6275574746635921,0.0,0.0,0.0,0.0,0.03251797612320183,0.030828626717851727,0.24823879632321783,4.216370213557839,0.0,0.0
68,15.0,0.0,10.116833333333314,0.0,2.810999999999998,100.0,100.0,0.0,15.0,0.1852138499773155,1.0276666666666665,2.3,3.0,0.882,0.05,0.0,0.0,2.294839951115238,0.0,1.3101437580153805,0.0,0.0,0.0,0.0,0.035774037603091995,0.03146818891484299,2.7507574714370344,3.496029493900505,0.0,0.0
69,15.0,0.0,9.83469999999998,0.0,2.985999999999998,100.0,100.0,0.0,15.0,0.19746907159505872,1.03968,0.868,4.5,0.882,0.05,0.0,0.0,2.3293923143860944,0.0,1.6182445907697487,0.0,0.0,0.0,0.0,0.03541157530851296,0.04038379824253581,1.9358650090678673,4.972144630058766,0.0,0.0
70,15.0,0.0,9.52669999999998,0.0,2.921999999999998,100.0,100.0,0.0,15.0,0.21299287540786818,1.0374666666666665,0.9800000000000001,4.5,0.882,0.05,0.0,0.0,2.2714963820310747,0.0,1.4062937894416732,0.0,0.0,0.0,0.0,0.041028533467237595,0.03375993680878764,1.6067911431725588,4.377975178854566,0.0,0.0
71,15.0,0.0,9.100033333333313,0.0,3.162999999999998,100.0,100.0,0.0,15.0,0.23002260027795512,1.016,0.6,2.0,0.882,0.05,0.0,0.0,2.201408418139806,0.0,1.3642095798585265,0.0,0.0,0.0,0.0,0.04741667198227949,0.025131751595772356,1.8973665961010275,3.496029493900505,0.0,0.0
72,15.0,0.0,8.833366666666645,0.0,3.174999999999998,100.0,100.0,0.0,15.0,0.24872411775433187,1.012,0.1,2.5,0.8818824,0.05,0.0,0.0,1.9841119570288115,0.0,1.264763921756854,0.0,0.0,0.0,0.0,0.05805924458032605,0.03715831993969502,0.31622776601683794,3.5355339059327378,0.0003718838528357986,0.0
73,15.0,0.0,8.460033333333312,0.0,3.412999999999998,100.0,100.0,0.0,15.0,0.26524843932733383,1.0256666666666665,0.4,3.5,0.8818824,0.05,0.0,0.0,1.9794012091826132,0.0,1.3585372035146228,0.0,0.0,0.0,0.0,0.06643853436179809,0.02474811378272024,1.2649110640673518,3.3747427885527643,0.0003718838528357986,0.0
74,15.0,0.0,8.033366666666645,0.0,3.5609999999999977,100.0,100.0,0.0,15.0,0.28641356450277816,1.016,0.6,2.0,0.8818824,0.05,0.0,0.0,1.898690649882341,0.0,1.4216848377111495,0.0,0.0,0.0,0.0,0.0756035976026977,0.025131751595772318,1.3498971154211057,3.496029493900505,0.0003718838528357986,0.0
75,15.0,0.0,7.673366666666643,0.0,3.652999999999998,100.0,100.0,0.0,15.0,0.30149130964066384,1.0256666666666665,0.0,3.5,0.8818824,0.05,0.0,0.0,1.8451520761039257,0.0,1.5044382487973524,0.0,0.0,0.0,0.0,0.07702297088073361,0.02474811378272026,0.0,3.3747427885527643,0.0003718838528357986,0.0
